startTime,gas_gen,wind_gen,nuclear_gen,biomass_gen,hydro_gen,pumped_storage,coal_gen,oil_gen,other_gen,interconnectors
2023-01-01 00:00:00+00:00,2973,11712,5722,453,340,-1432,578,0,145,1096
2023-01-01 00:30:00+00:00,3282,11792,5716,568,338,-1296,733,0,153,1044
2023-01-01 01:00:00+00:00,2941,12264,5704,597,285,-1476,714,0,225,632
2023-01-01 01:30:00+00:00,2744,12214,5708,465,285,-1614,507,0,198,592
2023-01-01 02:00:00+00:00,2720,11908,5715,458,285,-1648,470,0,158,214
2023-01-01 02:30:00+00:00,2700,11547,5715,451,285,-1760,464,0,142,152
2023-01-01 03:00:00+00:00,2707,11098,5707,454,285,-1750,468,0,139,118
2023-01-01 03:30:00+00:00,2700,10570,5711,453,284,-1748,465,0,136,96
2023-01-01 04:00:00+00:00,2741,10205,5707,471,282,-1646,476,0,157,-242
2023-01-01 04:30:00+00:00,2795,9876,5714,451,284,-1690,500,0,139,-244
2023-01-01 05:00:00+00:00,2778,10084,5720,444,293,-1736,521,0,132,-402
2023-01-01 05:30:00+00:00,2705,10136,5719,453,304,-1662,565,0,133,-392
2023-01-01 06:00:00+00:00,2825,10204,5723,457,331,-1574,534,0,153,-156
2023-01-01 06:30:00+00:00,2843,10471,5723,454,333,-1492,529,0,153,-192
2023-01-01 07:00:00+00:00,2960,10485,5721,458,381,-984,555,0,145,-282
2023-01-01 07:30:00+00:00,2988,10613,5729,449,392,-942,546,0,137,-246
2023-01-01 08:00:00+00:00,2947,10764,5730,451,415,-1148,523,0,134,520
2023-01-01 08:30:00+00:00,3009,10575,5719,572,449,-808,724,0,184,666
2023-01-01 09:00:00+00:00,2629,10363,5719,477,482,-592,699,0,159,2116
2023-01-01 09:30:00+00:00,2583,10138,5720,470,536,-52,721,0,180,2388
2023-01-01 10:00:00+00:00,2479,9340,5724,457,533,-64,488,0,157,4572
2023-01-01 10:30:00+00:00,2642,9402,5718,563,562,52,549,0,151,4802
2023-01-01 11:00:00+00:00,2726,9538,5720,756,647,188,620,0,152,4976
2023-01-01 11:30:00+00:00,2819,9819,5718,941,650,194,739,0,150,5132
2023-01-01 12:00:00+00:00,3098,10226,5717,1047,723,240,699,0,145,5366
2023-01-01 12:30:00+00:00,3397,10475,5718,1188,738,140,616,0,157,5446
2023-01-01 13:00:00+00:00,3674,10576,5720,1060,765,168,601,0,156,5424
2023-01-01 13:30:00+00:00,3821,10533,5719,979,766,320,565,0,190,5374
2023-01-01 14:00:00+00:00,4310,10272,5727,1187,701,218,544,0,167,5368
2023-01-01 14:30:00+00:00,4985,9865,5723,1420,604,146,639,0,174,5368
2023-01-01 15:00:00+00:00,6098,9196,5721,1433,650,394,718,0,141,5172
2023-01-01 15:30:00+00:00,7348,8513,5727,1431,767,252,793,0,132,5228
2023-01-01 16:00:00+00:00,8007,8233,5725,1431,851,750,896,0,208,5410
2023-01-01 16:30:00+00:00,8646,7837,5729,1431,908,1048,845,0,653,5408
2023-01-01 17:00:00+00:00,9144,7087,5725,1429,980,1548,799,0,960,5184
2023-01-01 17:30:00+00:00,9238,7066,5724,1435,972,1538,825,0,976,5198
2023-01-01 18:00:00+00:00,8898,6800,5718,1432,971,1390,797,0,771,5450
2023-01-01 18:30:00+00:00,8599,6607,5715,1436,943,1392,797,0,598,5474
2023-01-01 19:00:00+00:00,8567,6388,5718,1432,1028,962,748,0,435,5580
2023-01-01 19:30:00+00:00,8574,6045,5709,1435,856,588,778,0,243,5538
2023-01-01 20:00:00+00:00,8094,6024,5715,1430,785,336,788,0,229,5772
2023-01-01 20:30:00+00:00,7878,5963,5713,1420,730,346,858,0,235,5726
2023-01-01 21:00:00+00:00,7089,5747,5715,1415,547,208,988,0,154,5896
2023-01-01 21:30:00+00:00,6262,5527,5717,1408,529,116,945,0,190,5972
2023-01-01 22:00:00+00:00,5640,5221,5720,1415,501,94,907,0,149,6138
2023-01-01 22:30:00+00:00,5039,4767,5718,1420,520,46,949,0,176,6068
2023-01-01 23:00:00+00:00,4906,4008,5718,1352,488,-136,921,0,159,6068
2023-01-01 23:30:00+00:00,4908,3707,5719,1267,453,-400,838,0,146,6040
2023-01-02 00:00:00+00:00,4750,3736,5724,1349,390,-434,730,0,145,6090
2023-01-02 00:30:00+00:00,4664,4144,5724,1327,387,-188,556,0,116,6236
2023-01-02 01:00:00+00:00,4322,4575,5723,1039,351,-350,506,0,105,6278
2023-01-02 01:30:00+00:00,4073,4858,5726,905,300,-698,509,0,116,6200
2023-01-02 02:00:00+00:00,4073,4703,5714,958,294,-1188,520,0,126,6240
2023-01-02 02:30:00+00:00,3885,4954,5717,912,293,-1570,519,0,110,6224
2023-01-02 03:00:00+00:00,3565,4690,5713,956,294,-1612,517,0,120,6296
2023-01-02 03:30:00+00:00,3486,4381,5711,982,294,-1644,512,0,110,6280
2023-01-02 04:00:00+00:00,3525,4361,5708,1050,294,-1454,518,0,116,5732
2023-01-02 04:30:00+00:00,3675,4119,5710,1171,294,-1390,522,0,124,5504
2023-01-02 05:00:00+00:00,3662,5110,5712,1458,313,-1022,565,0,124,3968
2023-01-02 05:30:00+00:00,3797,5302,5716,1507,315,-816,552,0,107,3868
2023-01-02 06:00:00+00:00,4594,5716,5718,1765,328,-638,732,0,113,3182
2023-01-02 06:30:00+00:00,4973,6230,5716,1766,339,-584,696,0,112,3040
2023-01-02 07:00:00+00:00,5934,6629,5717,1739,388,-540,675,0,110,2794
2023-01-02 07:30:00+00:00,6314,6833,5719,1607,417,-358,640,0,112,2814
2023-01-02 08:00:00+00:00,7111,6919,5716,1946,436,-142,739,0,158,2376
2023-01-02 08:30:00+00:00,7558,6792,5716,2066,453,142,791,0,180,2464
2023-01-02 09:00:00+00:00,7792,6623,5723,2065,472,142,887,0,136,3434
2023-01-02 09:30:00+00:00,8066,6495,5721,2055,539,138,978,0,148,3648
2023-01-02 10:00:00+00:00,7412,6374,5719,2049,549,30,972,0,148,4856
2023-01-02 10:30:00+00:00,7653,5923,5718,2041,542,64,992,0,180,4860
2023-01-02 11:00:00+00:00,8428,5755,5718,2058,561,28,987,0,115,4232
2023-01-02 11:30:00+00:00,8233,5784,5715,2067,562,32,992,0,123,4358
2023-01-02 12:00:00+00:00,7639,5747,5707,2057,643,140,998,0,119,5092
2023-01-02 12:30:00+00:00,8113,5844,5712,2054,659,10,997,0,121,5124
2023-01-02 13:00:00+00:00,8695,5693,5713,2052,661,80,997,0,125,4520
2023-01-02 13:30:00+00:00,8819,5577,5711,2052,655,140,996,0,116,4576
2023-01-02 14:00:00+00:00,8705,5602,5706,1810,750,420,999,0,165,5266
2023-01-02 14:30:00+00:00,9758,5519,5717,2044,757,46,994,0,159,5318
2023-01-02 15:00:00+00:00,10997,5634,5715,2068,709,690,981,0,138,4532
2023-01-02 15:30:00+00:00,12081,5681,5717,2068,729,978,829,0,113,4728
2023-01-02 16:00:00+00:00,12742,5418,5722,2067,694,1276,865,0,169,6122
2023-01-02 16:30:00+00:00,13603,5194,5724,2067,781,1664,950,0,537,6504
2023-01-02 17:00:00+00:00,13825,5091,5721,2067,797,1844,995,0,763,7070
2023-01-02 17:30:00+00:00,13953,4938,5727,2066,937,1844,990,0,815,7228
2023-01-02 18:00:00+00:00,13850,4690,5722,2053,792,1842,992,0,646,7216
2023-01-02 18:30:00+00:00,13355,4634,5728,2041,789,1658,988,0,544,7014
2023-01-02 19:00:00+00:00,12940,4605,5717,2062,781,1244,996,0,406,6954
2023-01-02 19:30:00+00:00,13057,4624,5713,2055,775,362,996,0,156,6934
2023-01-02 20:00:00+00:00,12072,4839,5707,2054,759,220,998,0,102,6836
2023-01-02 20:30:00+00:00,11019,4936,5704,1948,636,-6,994,0,128,6798
2023-01-02 21:00:00+00:00,9830,4962,5706,1820,521,-8,929,0,172,7002
2023-01-02 21:30:00+00:00,8494,5250,5705,1816,521,16,798,0,123,6934
2023-01-02 22:00:00+00:00,6521,5756,5708,1868,467,-8,804,0,116,6882
2023-01-02 22:30:00+00:00,4593,6138,5704,1873,462,14,713,0,125,6966
2023-01-02 23:00:00+00:00,3698,6350,5711,2049,426,14,614,0,115,6010
2023-01-02 23:30:00+00:00,3085,6455,5705,1844,397,-14,310,0,162,5986
