year,month,month_label,monthly_regime_label,rows,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,negative_price_periods,negative_price_probability,periods_price_ge_100,probability_price_ge_100,periods_price_ge_150,probability_price_ge_150,near_spike_periods_200_to_250,near_spike_probability_200_to_250,spike_250_periods,spike_250_probability,spike_300_periods,spike_300_probability
2023,1,Jan,major_spike_month,1484,134.9331,-95.71,310.0,-8.419,10817.6739,10043.5694,2678.8814,83,0.0559,1043,0.7028,743,0.5007,279,0.188,70,0.0472,12,0.0081
2023,2,Feb,major_spike_month,1344,135.9376,-18.15,289.0,13.3541,8757.6949,11469.9576,3645.7292,2,0.0015,853,0.6347,665,0.4948,141,0.1049,21,0.0156,0,0.0
2023,3,Mar,major_spike_month,1486,127.0693,-76.0,1950.0,6.7808,8107.4004,11577.0518,3926.8923,53,0.0357,965,0.6494,632,0.4253,129,0.0868,20,0.0135,6,0.004
2023,4,Apr,broad_stress_month,1440,97.9409,-128.11,230.0,-60.1558,6100.15,10724.0792,3182.8042,33,0.0229,642,0.4458,259,0.1799,13,0.009,0,0.0,0,0.0
2023,5,May,quiet_or_normal_month,1488,74.6387,-155.2011,170.0,-90.4067,4498.5101,9680.5074,4343.1358,34,0.0228,461,0.3098,38,0.0255,0,0.0,0,0.0,0,0.0
2023,6,Jun,spike_active_month,1440,90.4754,-50.0,370.0,1.8924,4299.2222,10425.6535,2651.8306,13,0.009,658,0.4569,93,0.0646,8,0.0056,1,0.0007,1,0.0007
2023,7,Jul,negative_price_dominant_month,1487,68.0824,-185.33,239.46,-47.0184,6404.1123,8535.1654,1615.8816,164,0.1103,514,0.3457,25,0.0168,2,0.0013,0,0.0,0,0.0
2023,8,Aug,broad_stress_month,1488,78.7081,-78.25,202.1298,-50.596,5247.123,10005.4429,1947.7581,36,0.0242,535,0.3595,17,0.0114,1,0.0007,0,0.0,0,0.0
2023,9,Sep,broad_stress_month,1440,79.988,-89.7,202.0,-27.5683,5800.8743,9876.5931,1479.7708,89,0.0618,629,0.4368,34,0.0236,2,0.0014,0,0.0,0,0.0
2023,10,Oct,mixed_tail_month,1488,91.2766,-84.52,310.0,44.2355,8530.6411,8419.7305,2027.8118,107,0.0719,804,0.5403,184,0.1237,7,0.0047,3,0.002,1,0.0007
2023,11,Nov,spike_active_month,1440,90.0437,-60.0,276.09,-9.2044,8680.3562,10768.1299,3340.2986,59,0.041,676,0.4694,114,0.0792,10,0.0069,3,0.0021,0,0.0
2023,12,Dec,mixed_tail_month,1487,69.0231,-68.0,300.0,-45.602,11384.4707,9382.1392,1608.425,176,0.1184,440,0.2959,74,0.0498,3,0.002,2,0.0013,1,0.0007
