year,price_band,periods,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,share_imbalance_gt_150,share_imbalance_lt_minus_150,share_wind_lt_3000,share_wind_lt_8000,share_wind_gt_10000,share_wind_gt_12000,share_gas_gt_15000,share_gas_gt_20000,share_gas_lt_5000,share_interconnectors_lt_2500,share_interconnectors_gt_4500,share_evening_peak,year_rows,annual_share
2023,negative,849,-31.6907,-185.33,-0.08,-448.4851,11943.7032,3552.7797,47.3687,0.0012,0.8598,0.0071,0.1201,0.7762,0.5194,0.0,0.0,0.9234,0.7585,0.0872,0.0353,17512,0.0485
2023,0_to_100,8443,57.8172,0.0,99.99,-185.0651,7231.1302,9372.9784,2701.9007,0.0368,0.4873,0.191,0.6102,0.2666,0.1711,0.1374,0.0346,0.2542,0.4357,0.3191,0.1195,17512,0.4821
2023,100_to_150,5342,122.3398,100.0,149.95,151.366,6661.0777,10870.5011,2672.0738,0.4317,0.061,0.2085,0.6623,0.2278,0.1275,0.2039,0.0653,0.1567,0.4474,0.2948,0.2069,17512,0.305
2023,150_to_200,2163,173.7425,150.0,199.909,237.2925,8070.6153,11624.9575,3412.6805,0.5932,0.0,0.1572,0.5539,0.3625,0.2372,0.2977,0.0892,0.1687,0.3504,0.4179,0.2372,17512,0.1235
2023,200_to_250,595,215.9386,200.0,249.0,300.1926,7491.6303,14318.4084,3843.9832,0.6941,0.0,0.1345,0.5916,0.2555,0.1647,0.5479,0.2437,0.1227,0.2756,0.5059,0.3025,17512,0.034
2023,250_to_300,99,264.5665,250.0,290.0,339.0204,5501.1818,18833.0606,3678.0808,0.7374,0.0,0.1313,0.8182,0.0202,0.0,0.7374,0.6263,0.0,0.2424,0.4444,0.6566,17512,0.0057
2023,300_plus,21,501.9662,300.0,1950.0,294.8925,5293.4762,20037.4762,3177.3333,0.5238,0.0,0.1429,0.9048,0.0,0.0,0.7619,0.7143,0.0,0.5238,0.2381,0.8571,17512,0.0012
2024,negative,1073,-18.9748,-91.82,-0.2,-415.9388,11604.3998,2900.754,1409.836,0.0,0.8406,0.0028,0.1594,0.6813,0.5107,0.0,0.0,0.9506,0.5955,0.1789,0.013,17568,0.0611
2024,0_to_100,12196,62.69,0.0,99.99,-75.8873,7640.9133,7824.567,3648.0746,0.1538,0.3495,0.1648,0.569,0.3012,0.1965,0.0965,0.0326,0.3822,0.2493,0.4059,0.1295,17568,0.6942
2024,100_to_150,4144,114.4005,100.0,149.4868,229.6066,6706.7821,11047.7589,3344.5309,0.5731,0.0121,0.1863,0.6547,0.221,0.1175,0.2343,0.103,0.1535,0.2729,0.2802,0.3024,17568,0.2359
2024,150_to_200,122,166.5483,150.0,196.74,216.784,4164.4426,19967.7869,3271.4098,0.5656,0.0,0.5246,0.8525,0.0738,0.041,0.8852,0.5082,0.0082,0.2623,0.1148,0.5574,17568,0.0069
2024,200_to_250,9,225.0389,200.0,249.0,198.7335,2695.2222,23071.3333,2617.7778,0.2222,0.0,0.6667,1.0,0.0,0.0,0.8889,0.8889,0.0,0.3333,0.0,0.3333,17568,0.0005
2024,250_to_300,7,277.6057,251.94,295.0,80.3093,2114.2857,24537.0,3242.5714,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8571,0.0,0.2857,0.0,0.4286,17568,0.0004
2024,300_plus,17,452.1986,300.0,669.212,333.6639,1676.7059,24821.8824,2390.2353,0.5294,0.0,1.0,1.0,0.0,0.0,1.0,0.8824,0.0,0.5294,0.0,0.4706,17568,0.001
2025,negative,1121,-16.4235,-95.0,-0.04,-506.0298,11918.355,3183.7333,1218.2712,0.0018,0.8698,0.0036,0.1463,0.6869,0.5112,0.0009,0.0,0.9376,0.6316,0.1624,0.0375,17520,0.064
2025,0_to_100,10803,66.5475,0.0,99.9901,-125.45,8145.1911,8310.5946,3557.4613,0.0906,0.3847,0.1426,0.5332,0.3443,0.2394,0.1235,0.0413,0.3363,0.2829,0.3891,0.1164,17520,0.6166
2025,100_to_150,5128,117.1892,100.0,149.9619,214.7828,7128.6866,10688.1901,3626.4434,0.5322,0.014,0.1683,0.6172,0.2447,0.1521,0.2358,0.0848,0.1956,0.2547,0.3461,0.2713,17520,0.2927
2025,150_to_200,400,163.1535,150.0,199.99,289.9667,5366.2,18556.475,3236.55,0.65,0.0,0.29,0.815,0.11,0.0525,0.7625,0.5175,0.0175,0.3225,0.26,0.47,17520,0.0228
2025,200_to_250,26,219.1026,200.0,248.54,387.2849,2948.4231,21871.8846,3190.0769,0.7692,0.0,0.5769,1.0,0.0,0.0,0.9231,0.8077,0.0,0.3077,0.1154,0.5385,17520,0.0015
2025,250_to_300,15,272.5281,250.0,295.63,261.6613,2901.4667,20910.8,2798.2667,0.6667,0.0,0.6667,1.0,0.0,0.0,0.8,0.8,0.0,0.2667,0.0,0.6667,17520,0.0009
2025,300_plus,27,1296.0599,300.0,2900.0,289.4384,3034.1111,22843.9259,3107.2593,0.7407,0.0,0.7037,1.0,0.0,0.0,0.8519,0.8148,0.0,0.4074,0.2222,0.6296,17520,0.0015
