year,from_band,to_band,transition,from_periods,to_periods,from_avg_price,to_avg_price,delta_price,from_avg_imbalance,to_avg_imbalance,delta_imbalance,from_avg_wind,to_avg_wind,delta_wind,from_avg_gas,to_avg_gas,delta_gas,from_avg_interconnectors,to_avg_interconnectors,delta_interconnectors,from_share_evening_peak,to_share_evening_peak,delta_evening_peak_share
2023,negative,0_to_100,negative -> 0_to_100,849,8443,-31.6907,57.8172,89.5079,-448.4851,-185.0651,263.42,11943.7032,7231.1302,-4712.573,3552.7797,9372.9784,5820.1987,47.3687,2701.9007,2654.5321,0.0353,0.1195,0.0842
2023,0_to_100,100_to_150,0_to_100 -> 100_to_150,8443,5342,57.8172,122.3398,64.5226,-185.0651,151.366,336.4311,7231.1302,6661.0777,-570.0525,9372.9784,10870.5011,1497.5227,2701.9007,2672.0738,-29.827,0.1195,0.2069,0.0873
2023,100_to_150,150_to_200,100_to_150 -> 150_to_200,5342,2163,122.3398,173.7425,51.4027,151.366,237.2925,85.9266,6661.0777,8070.6153,1409.5377,10870.5011,11624.9575,754.4563,2672.0738,3412.6805,740.6068,0.2069,0.2372,0.0303
2023,150_to_200,200_to_250,150_to_200 -> 200_to_250,2163,595,173.7425,215.9386,42.1961,237.2925,300.1926,62.9001,8070.6153,7491.6303,-578.9851,11624.9575,14318.4084,2693.4509,3412.6805,3843.9832,431.3027,0.2372,0.3025,0.0654
2023,200_to_250,250_to_300,200_to_250 -> 250_to_300,595,99,215.9386,264.5665,48.6279,300.1926,339.0204,38.8278,7491.6303,5501.1818,-1990.4484,14318.4084,18833.0606,4514.6522,3843.9832,3678.0808,-165.9024,0.3025,0.6566,0.354
2023,250_to_300,300_plus,250_to_300 -> 300_plus,99,21,264.5665,501.9662,237.3997,339.0204,294.8925,-44.1279,5501.1818,5293.4762,-207.7056,18833.0606,20037.4762,1204.4156,3678.0808,3177.3333,-500.7475,0.6566,0.8571,0.2006
2024,negative,0_to_100,negative -> 0_to_100,1073,12196,-18.9748,62.69,81.6649,-415.9388,-75.8873,340.0515,11604.3998,7640.9133,-3963.4866,2900.754,7824.567,4923.813,1409.836,3648.0746,2238.2386,0.013,0.1295,0.1164
2024,0_to_100,100_to_150,0_to_100 -> 100_to_150,12196,4144,62.69,114.4005,51.7105,-75.8873,229.6066,305.4939,7640.9133,6706.7821,-934.1312,7824.567,11047.7589,3223.1919,3648.0746,3344.5309,-303.5437,0.1295,0.3024,0.1729
2024,100_to_150,150_to_200,100_to_150 -> 150_to_200,4144,122,114.4005,166.5483,52.1479,229.6066,216.784,-12.8226,6706.7821,4164.4426,-2542.3395,11047.7589,19967.7869,8920.028,3344.5309,3271.4098,-73.1211,0.3024,0.5574,0.255
2024,150_to_200,200_to_250,150_to_200 -> 200_to_250,122,9,166.5483,225.0389,58.4905,216.784,198.7335,-18.0505,4164.4426,2695.2222,-1469.2204,19967.7869,23071.3333,3103.5464,3271.4098,2617.7778,-653.6321,0.5574,0.3333,-0.224
2024,200_to_250,250_to_300,200_to_250 -> 250_to_300,9,7,225.0389,277.6057,52.5668,198.7335,80.3093,-118.4242,2695.2222,2114.2857,-580.9365,23071.3333,24537.0,1465.6667,2617.7778,3242.5714,624.7937,0.3333,0.4286,0.0952
2024,250_to_300,300_plus,250_to_300 -> 300_plus,7,17,277.6057,452.1986,174.5929,80.3093,333.6639,253.3546,2114.2857,1676.7059,-437.5798,24537.0,24821.8824,284.8824,3242.5714,2390.2353,-852.3361,0.4286,0.4706,0.042
2025,negative,0_to_100,negative -> 0_to_100,1121,10803,-16.4235,66.5475,82.971,-506.0298,-125.45,380.5797,11918.355,8145.1911,-3773.164,3183.7333,8310.5946,5126.8614,1218.2712,3557.4613,2339.1901,0.0375,0.1164,0.079
2025,0_to_100,100_to_150,0_to_100 -> 100_to_150,10803,5128,66.5475,117.1892,50.6417,-125.45,214.7828,340.2329,8145.1911,7128.6866,-1016.5044,8310.5946,10688.1901,2377.5955,3557.4613,3626.4434,68.9822,0.1164,0.2713,0.1548
2025,100_to_150,150_to_200,100_to_150 -> 150_to_200,5128,400,117.1892,163.1535,45.9644,214.7828,289.9667,75.1838,7128.6866,5366.2,-1762.4866,10688.1901,18556.475,7868.2849,3626.4434,3236.55,-389.8934,0.2713,0.47,0.1987
2025,150_to_200,200_to_250,150_to_200 -> 200_to_250,400,26,163.1535,219.1026,55.949,289.9667,387.2849,97.3182,5366.2,2948.4231,-2417.7769,18556.475,21871.8846,3315.4096,3236.55,3190.0769,-46.4731,0.47,0.5385,0.0685
2025,200_to_250,250_to_300,200_to_250 -> 250_to_300,26,15,219.1026,272.5281,53.4255,387.2849,261.6613,-125.6236,2948.4231,2901.4667,-46.9564,21871.8846,20910.8,-961.0846,3190.0769,2798.2667,-391.8103,0.5385,0.6667,0.1282
2025,250_to_300,300_plus,250_to_300 -> 300_plus,15,27,272.5281,1296.0599,1023.5318,261.6613,289.4384,27.7771,2901.4667,3034.1111,132.6444,20910.8,22843.9259,1933.1259,2798.2667,3107.2593,308.9926,0.6667,0.6296,-0.037
