year,annual_architecture,regime_group,rows,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,negative_price_periods,price_ge_100_periods,price_ge_150_periods,price_ge_200_periods,price_ge_250_periods,price_ge_300_periods,share_negative_price,share_price_ge_100,share_price_ge_150,share_price_ge_200,share_price_ge_250,share_price_ge_300,share_imbalance_gt_150,share_imbalance_gt_300,share_imbalance_lt_minus_150,share_wind_lt_8000,share_wind_lt_3000,share_wind_gt_10000,share_wind_gt_12000,share_gas_gt_15000,share_gas_gt_20000,share_gas_lt_5000,share_interconnectors_lt_2500,share_interconnectors_gt_4500,share_evening_peak,interpretation_for_paper
2023,q1_compound_scarcity_architecture,2023_q1_compound_scarcity,4314,132.5373,-95.71,1950.0,3.6,9242.3197,11016.175,3409.9866,138,2861,2040,660,111,18,0.032,0.6632,0.4729,0.153,0.0257,0.0042,0.3016,0.1514,0.2786,0.4386,0.0679,0.4418,0.3048,0.3027,0.1268,0.2545,0.3449,0.4383,0.1669,"Main 2023 stress regime. Broad Q1 scarcity with concentrated £250+ spike activity, strong evening amplification and compound gas/wind/imbalance stress."
2023,q1_compound_scarcity_architecture,2023_apr_sep_quiet_surplus,8783,81.5121,-185.33,370.0,-45.9212,5391.412,9867.0607,2538.587,369,3439,466,27,1,1,0.042,0.3916,0.0531,0.0031,0.0001,0.0001,0.2142,0.092,0.3074,0.783,0.2809,0.117,0.0429,0.1099,0.0071,0.1683,0.4708,0.2967,0.1667,"Quiet/surplus-leaning regime. Very low spike realization despite some low-wind periods, showing that low wind alone was insufficient to create spikes."
2023,q1_compound_scarcity_architecture,2023_oct_nov_transition,2928,90.6703,-84.52,310.0,17.9536,8604.2715,9574.681,2673.2971,166,1480,298,23,6,1,0.0567,0.5055,0.1018,0.0079,0.002,0.0003,0.3084,0.1629,0.2596,0.4587,0.1031,0.3945,0.2445,0.21,0.0717,0.3152,0.4044,0.2592,0.1667,Autumn transition regime with limited spike return after the quiet summer period.
2023,q1_compound_scarcity_architecture,2023_dec_windy,1487,69.0231,-68.0,300.0,-45.602,11384.4707,9382.1392,1608.425,176,440,74,5,2,1,0.1184,0.2959,0.0498,0.0034,0.0013,0.0007,0.2105,0.1063,0.3416,0.2219,0.072,0.6564,0.5178,0.2838,0.1594,0.4748,0.5804,0.2293,0.1668,High-wind December regime with low average prices and limited spike activity.
2024,late_year_physical_scarcity_architecture,2024_q1_quiet,4368,65.3282,-74.0,177.71,-2.8579,9474.457,10109.9116,3643.2633,144,510,4,0,0,0,0.033,0.1168,0.0009,0.0,0.0,0.0,0.2722,0.1394,0.2976,0.3851,0.0785,0.4803,0.3239,0.215,0.0863,0.2713,0.2983,0.4728,0.1667,"Quiet Q1 regime. Unlike 2023, Q1 2024 did not produce major spike stress."
2024,late_year_physical_scarcity_architecture,2024_apr_sep_quiet_surplus,8784,66.0372,-91.82,200.0,-26.6825,6169.1697,6289.3763,3742.5093,755,1934,14,1,0,0,0.086,0.2202,0.0016,0.0001,0.0,0.0,0.2419,0.1124,0.2923,0.7079,0.2196,0.1676,0.0887,0.0153,0.0002,0.4572,0.1981,0.4155,0.1667,Extended quiet/surplus period with low upper-tail activity and frequent lower-price conditions.
2024,late_year_physical_scarcity_architecture,2024_oct_nov_transition,2928,87.5927,-27.9,669.212,-27.8689,7667.1732,11268.7298,2854.7896,78,1187,49,11,10,6,0.0266,0.4054,0.0167,0.0038,0.0034,0.002,0.2305,0.1045,0.292,0.5594,0.1417,0.2947,0.1701,0.293,0.1048,0.2042,0.3682,0.1209,0.1667,Late-year transition regime where upper-tail stress began to return.
2024,late_year_physical_scarcity_architecture,2024_dec_physical_scarcity,1488,86.2649,-75.0,590.4504,-38.5761,10742.4254,10187.8145,2152.9651,96,668,88,21,14,11,0.0645,0.4489,0.0591,0.0141,0.0094,0.0074,0.2298,0.1082,0.3306,0.2843,0.129,0.6028,0.5,0.2399,0.1539,0.3488,0.494,0.1667,0.1667,"Main 2024 stress regime. December upper-tail events were physically severe, with low wind and high gas conditions."
2025,mixed_tail_scarcity_surplus_architecture,2025_jan_spike_stress,1488,123.8734,-71.91,2900.0,-37.5047,8353.1694,14829.5007,2848.5941,44,779,165,32,23,19,0.0296,0.5235,0.1109,0.0215,0.0155,0.0128,0.2224,0.0995,0.287,0.4698,0.1754,0.4019,0.2802,0.5108,0.3239,0.162,0.3313,0.1888,0.1667,Main 2025 upper-tail shock regime. Contains the largest price event and most £300+ periods.
2025,mixed_tail_scarcity_surplus_architecture,2025_feb_mar_broad_stress,2832,93.9038,-95.0,207.4,-63.9954,8414.1487,11425.2052,3654.8037,99,1249,172,4,0,0,0.035,0.441,0.0607,0.0014,0.0,0.0,0.2398,0.1179,0.3517,0.4915,0.0907,0.3355,0.2221,0.2948,0.1028,0.179,0.3079,0.4382,0.1667,"Broad elevated-price regime after January, with meaningful £100+/£150+ stress but limited spike realization."
