year,threshold,time_band,rows_in_time_band,periods_above_threshold,probability_above_threshold,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,share_imbalance_gt_150,share_imbalance_gt_300,share_wind_lt_8000,share_wind_lt_3000,share_gas_gt_15000,share_gas_gt_20000,share_interconnectors_lt_2500,share_interconnectors_gt_4500
2023,100,night,4374,1537,0.3514,135.5894,100.0,290.0,132.9088,6528.5615,8393.6597,1379.0488,0.4138,0.1705,0.6714,0.2095,0.0787,0.0046,0.6662,0.1483
2023,100,morning_ramp,2920,1526,0.5226,147.3733,100.0,275.0002,205.9715,6783.998,11751.1809,3086.3408,0.5138,0.2779,0.6448,0.2189,0.287,0.1022,0.3781,0.3526
2023,100,midday,2920,1260,0.4315,142.5483,100.0,255.0,194.3101,7251.6286,11313.65,3979.4667,0.4873,0.2532,0.6143,0.1921,0.2865,0.1302,0.2619,0.5405
2023,100,afternoon,1460,623,0.4267,144.218,100.0,304.2895,169.1406,7368.9839,12026.8539,3455.817,0.4639,0.2135,0.5971,0.1782,0.3194,0.1477,0.297,0.4205
2023,100,evening_peak,2920,1881,0.6442,155.8343,100.0,1950.0,223.4516,7299.3312,13423.6188,3449.7416,0.563,0.2951,0.6162,0.1659,0.3652,0.1233,0.3275,0.3881
2023,100,late_evening,2918,1393,0.4774,142.6315,100.0,370.0,180.2728,7400.407,11621.3927,2791.4214,0.5054,0.2247,0.6224,0.1644,0.2455,0.0811,0.4415,0.28
2023,150,night,4374,433,0.099,175.853,150.0,290.0,218.0777,7635.9515,8194.6998,1788.8406,0.5658,0.2656,0.5751,0.157,0.0785,0.0023,0.582,0.2286
2023,150,morning_ramp,2920,574,0.1966,187.1189,150.0,275.0002,283.0056,7535.9425,13107.5505,3116.101,0.6394,0.3728,0.5784,0.1551,0.4181,0.1725,0.3815,0.3641
2023,150,midday,2920,408,0.1397,186.364,150.0,255.0,238.178,8109.8358,12804.076,4342.4902,0.5956,0.3088,0.5613,0.1544,0.4093,0.2132,0.2377,0.598
2023,150,afternoon,1460,219,0.15,186.9425,150.0,304.2895,186.7115,8011.8174,13258.6986,3910.6941,0.4977,0.2055,0.5297,0.1644,0.4521,0.2237,0.274,0.5297
2023,150,evening_peak,2920,776,0.2658,199.5047,150.0,1950.0,286.0614,7641.5438,14524.0992,4117.7088,0.6727,0.3943,0.6018,0.1611,0.4923,0.1791,0.2255,0.5039
2023,150,late_evening,2918,468,0.1604,183.0742,150.0,370.0,245.1093,8429.0684,11707.3462,3660.0897,0.6282,0.2927,0.5491,0.1175,0.2927,0.0855,0.3291,0.4167
2023,200,night,4374,41,0.0094,215.1184,200.0,290.0,317.4387,6354.1707,8033.8537,3176.4878,0.8293,0.439,0.6829,0.2195,0.0488,0.0,0.2927,0.3415
