year,threshold,periods_above_threshold,probability_above_threshold,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,share_imbalance_gt_150,share_imbalance_gt_300,share_wind_lt_8000,share_wind_lt_3000,share_gas_gt_15000,share_gas_gt_20000,share_interconnectors_lt_2500,share_interconnectors_gt_4500,share_evening_peak
2023,100,8220,0.4694,145.3238,100.0,1950.0,187.3761,7074.6372,11437.9213,2965.191,0.4971,0.244,0.6311,0.1886,0.2613,0.0929,0.4072,0.3442,0.2288
2023,150,2878,0.1643,187.9854,150.0,1950.0,254.2162,7842.2658,12491.1383,3509.2606,0.6185,0.3277,0.5733,0.1515,0.368,0.1442,0.3325,0.4357,0.2696
2023,200,715,0.0408,231.0725,200.0,1950.0,305.4131,7151.4685,15111.4867,3801.4322,0.6951,0.4294,0.6322,0.1343,0.5804,0.3105,0.2783,0.4895,0.3678
2023,250,120,0.0069,306.1114,250.0,1950.0,331.298,5464.8333,19043.8333,3590.45,0.7,0.45,0.8333,0.1333,0.7417,0.6417,0.2917,0.4083,0.6917
2023,300,21,0.0012,501.9662,300.0,1950.0,294.8925,5293.4762,20037.4762,3177.3333,0.5238,0.4286,0.9048,0.1429,0.7619,0.7143,0.5238,0.2381,0.8571
2024,100,4299,0.2447,117.7135,100.0,669.212,229.3465,6598.8667,11402.502,3336.9946,0.5711,0.2954,0.6629,0.2014,0.2584,0.1205,0.2738,0.2733,0.3105
2024,150,155,0.0088,206.2894,150.0,669.212,222.3916,3713.6968,20886.729,3135.5097,0.5161,0.2194,0.8839,0.6065,0.9032,0.5871,0.2968,0.0903,0.529
2024,200,33,0.0019,353.2111,200.0,669.212,243.1228,2047.303,24284.0303,2633.0909,0.3333,0.1515,1.0,0.9091,0.9697,0.8788,0.4242,0.0,0.4242
2024,250,24,0.0014,401.2757,251.94,669.212,259.7688,1804.3333,24738.7917,2638.8333,0.375,0.1667,1.0,1.0,1.0,0.875,0.4583,0.0,0.4583
2024,300,17,0.001,452.1986,300.0,669.212,333.6639,1676.7059,24821.8824,2390.2353,0.5294,0.2353,1.0,1.0,1.0,0.8824,0.5294,0.0,0.4706
2025,100,5596,0.3194,127.0525,100.0,2900.0,221.4443,6952.1957,11388.6251,3591.8217,0.5431,0.2791,0.636,0.1828,0.2811,0.1246,0.2605,0.3374,0.2895
2025,150,468,0.0267,235.1274,150.0,2900.0,294.4355,5018.3376,19063.4765,3212.4615,0.6624,0.406,0.8419,0.3419,0.7778,0.5598,0.3248,0.2415,0.4893
2025,200,68,0.0039,658.503,200.0,2900.0,320.723,2972.0882,22045.8382,3070.7647,0.7353,0.4412,1.0,0.6471,0.8676,0.8088,0.3382,0.1324,0.6029
2025,250,42,0.0024,930.5128,250.0,2900.0,279.518,2986.7381,22153.5238,2996.9048,0.7143,0.4048,1.0,0.6905,0.8333,0.8095,0.3571,0.1429,0.6429
2025,300,27,0.0015,1296.0599,300.0,2900.0,289.4384,3034.1111,22843.9259,3107.2593,0.7407,0.4074,1.0,0.7037,0.8519,0.8148,0.4074,0.2222,0.6296
