price_event_id,price_event_type,price_event_year,price_event_start,price_event_end,price_event_max_price,price_event_avg_imbalance,price_event_avg_wind,price_event_avg_gas,price_event_avg_interconnectors,price_event_time_band,price_event_regime_group,external_event_type,active_event_count,total_unavailable_capacity_mw,largest_unavailable_capacity_mw,key_assets,fuel_types,event_statuses,event_causes,earliest_external_event_start,latest_external_event_end,association_assessment,research_interpretation
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,thermal_gas_unavailability,10,4825.0,810.0,COSO-1; HUMR-1; SHBA-1,Fossil Gas,Active; Dismissed; Inactive,Gas Turbine; Planned Maintenance; Plant Fault; Steam Turbine,2023-03-06 14:30:00+00:00,2023-03-08 01:30:00+00:00,high_confidence_association,"Price event reached £1950.00/MWh with average wind 3332.0 MW, gas 23431.0 MW, imbalance 514.6, and interconnectors 2066.0 MW. REMIT records show thermal/gas availability reductions involving COSO-1; HUMR-1; SHBA-1, with total reported unavailable capacity around 4825.0 MW. This suggests the price event coincided with reduced dispatchable capacity in an already stressed system."
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,interconnector_unavailability,1,500.0,500.0,I_IEG-MOYL1,,Active,SONI TSO restricting NI to GB flows,2023-03-07 07:00:00+00:00,2023-03-07 23:00:00+00:00,high_confidence_association,"Price event reached £1950.00/MWh with average wind 3332.0 MW, gas 23431.0 MW, imbalance 514.6, and interconnectors 2066.0 MW. REMIT records show interconnector unavailability involving I_IEG-MOYL1, with total reported unavailable capacity around 500.0 MW. This suggests the price event coincided with reduced cross-border flexibility under stressed system conditions."
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,other_unavailability_or_capacity_change,8,2210.0,660.0,DRAXX-3; DRAXX-5; I_IEG-EWIC1; T_HEYM27,Biomass; Fossil Hard coal; Nuclear,Active; Dismissed; Inactive,Boiler / Fuel Supply; Interim; TSO NTC Reduction; Turbine generator/Feed system,2023-03-05 23:00:00+00:00,2023-03-23 17:00:00+00:00,medium_confidence_association,"Price event reached £1950.00/MWh with average wind 3332.0 MW, gas 23431.0 MW, imbalance 514.6, and interconnectors 2066.0 MW. REMIT records show external capacity events involving DRAXX-3; DRAXX-5; I_IEG-EWIC1; T_HEYM27. This should be treated as contextual evidence rather than direct causal proof."
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,wind_unavailability,7,882.0,168.0,T_BEATO-1; T_BEATO-3; T_SGRWO-1; T_SGRWO-3; T_SGRWO-4; T_SGRWO-5; T_SGRWO-6,Wind Offshore,Dismissed,B19,2023-03-06 08:00:00+00:00,2023-03-24 17:00:00+00:00,medium_confidence_association,"Price event reached £1950.00/MWh with average wind 3332.0 MW, gas 23431.0 MW, imbalance 514.6, and interconnectors 2066.0 MW. REMIT records show wind unit unavailability involving T_BEATO-1; T_BEATO-3; T_SGRWO-1; T_SGRWO-3; T_SGRWO-4; T_SGRWO-5; T_SGRWO-6, with reported unavailable capacity around 882.0 MW. This may have contributed to the low-wind scarcity background, but should not be treated as a single direct cause."
2023_large_upward_jump_3152,large_upward_jump,2023,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,maintenance_or_deload,1,492.0,492.0,T_WBUPS-2,Fossil Hard coal,Dismissed,Operational,2023-03-06 07:00:00+00:00,2025-02-05 23:00:00+00:00,medium_confidence_association,"Price event reached £1950.00/MWh with average wind 3332.0 MW, gas 23431.0 MW, imbalance 514.6, and interconnectors 2066.0 MW. REMIT records show external capacity events involving T_WBUPS-2. This should be treated as contextual evidence rather than direct causal proof."
2024_positive_spike_cluster_1,positive_spike_cluster,2024,2024-10-14 15:00:00+00:00,2024-10-14 17:30:00+00:00,669.212,763.8646,2286.5,20016.6667,2348.0,evening_peak,oct_nov_transition,thermal_gas_unavailability,14,2130.0,832.0,CDCL-1; EXETR-2; RYHPS-1; SEEL-1; SUTB-1; VKING-2; WBURB-2,Fossil Gas,Active; Dismissed; Inactive,Ambient; Planned Outage; Planned Shutdown; Plant Fault; Testing/Commissioning; Unplanned,2024-10-14 11:00:00+00:00,2024-10-22 16:30:00+00:00,high_confidence_association,"Price event reached £669.21/MWh with average wind 2286.5 MW, gas 20016.7 MW, imbalance 763.9, and interconnectors 2348.0 MW. REMIT records show thermal/gas availability reductions involving CDCL-1; EXETR-2; RYHPS-1; SEEL-1; SUTB-1; VKING-2; WBURB-2, with total reported unavailable capacity around 2130.0 MW. This suggests the price event coincided with reduced dispatchable capacity in an already stressed system."
2024_positive_spike_cluster_1,positive_spike_cluster,2024,2024-10-14 15:00:00+00:00,2024-10-14 17:30:00+00:00,669.212,763.8646,2286.5,20016.6667,2348.0,evening_peak,oct_nov_transition,other_unavailability_or_capacity_change,9,1560.0,240.0,PETEM1,Other,Dismissed; Inactive,Nozzle replacement,2024-10-14 11:00:00+00:00,2024-10-17 04:00:00+00:00,medium_confidence_association,"Price event reached £669.21/MWh with average wind 2286.5 MW, gas 20016.7 MW, imbalance 763.9, and interconnectors 2348.0 MW. REMIT records show external capacity events involving PETEM1. This should be treated as contextual evidence rather than direct causal proof."
2024_positive_spike_cluster_1,positive_spike_cluster,2024,2024-10-14 15:00:00+00:00,2024-10-14 17:30:00+00:00,669.212,763.8646,2286.5,20016.6667,2348.0,evening_peak,oct_nov_transition,wind_unavailability,6,835.0,300.0,RREW-1; T_SGRWO-1; T_SGRWO-2; T_SGRWO-3; T_SGRWO-4; T_SGRWO-5,Wind Offshore,Active; Inactive,B19; Planned Outage,2024-10-14 11:30:00+00:00,2024-10-14 15:32:00+00:00,medium_confidence_association,"Price event reached £669.21/MWh with average wind 2286.5 MW, gas 20016.7 MW, imbalance 763.9, and interconnectors 2348.0 MW. REMIT records show wind unit unavailability involving RREW-1; T_SGRWO-1; T_SGRWO-2; T_SGRWO-3; T_SGRWO-4; T_SGRWO-5, with reported unavailable capacity around 835.0 MW. This may have contributed to the low-wind scarcity background, but should not be treated as a single direct cause."
2024_positive_spike_cluster_5,positive_spike_cluster,2024,2024-12-11 11:30:00+00:00,2024-12-11 12:30:00+00:00,590.4504,32.0034,1798.0,26781.6667,4025.3333,midday,dec_stress,thermal_gas_unavailability,5,584.0,354.0,CNQPS-4; COSO-1; HUMR-1; WBURB-1,Fossil Gas,Active; Dismissed,Planned Maintenance; Steam Turbine; Under investigation; Unplanned,2024-12-08 05:30:00+00:00,2024-12-30 06:00:00+00:00,high_confidence_association,"Price event reached £590.45/MWh with average wind 1798.0 MW, gas 26781.7 MW, imbalance 32.0, and interconnectors 4025.3 MW. REMIT records show thermal/gas availability reductions involving CNQPS-4; COSO-1; HUMR-1; WBURB-1, with total reported unavailable capacity around 584.0 MW. This suggests the price event coincided with reduced dispatchable capacity in an already stressed system."
2024_positive_spike_cluster_5,positive_spike_cluster,2024,2024-12-11 11:30:00+00:00,2024-12-11 12:30:00+00:00,590.4504,32.0034,1798.0,26781.6667,4025.3333,midday,dec_stress,interconnector_unavailability,1,500.0,500.0,I_IEG-MOYL1,,Active,SONI TSO restricting NI to GB flows,2024-12-11 14:00:00+00:00,2024-12-11 22:00:00+00:00,high_confidence_association,"Price event reached £590.45/MWh with average wind 1798.0 MW, gas 26781.7 MW, imbalance 32.0, and interconnectors 4025.3 MW. REMIT records show interconnector unavailability involving I_IEG-MOYL1, with total reported unavailable capacity around 500.0 MW. This suggests the price event coincided with reduced cross-border flexibility under stressed system conditions."
