year,relative_period,observations,avg_price,avg_imbalance,avg_wind,avg_gas
2023,t-4,120,193.5633,32.0539,6009.4667,17746.9333
2023,t-3,120,206.6284,68.4329,5918.3417,18145.4417
2023,t-2,120,206.1422,134.9924,5897.4917,18675.925
2023,t-1,120,244.9585,235.9856,5620.2583,18834.5667
2023,t,120,306.1114,331.298,5464.8333,19043.8333
2024,t-4,24,171.5814,21.5142,2017.0833,24197.5417
2024,t-3,24,203.0899,51.18,1962.0833,24447.2917
2024,t-2,24,252.9989,126.1096,1910.6667,24598.25
2024,t-1,24,288.681,174.2036,1860.1667,24700.7917
2024,t,24,401.2757,259.7688,1804.3333,24738.7917
