year,price_band,periods,share_of_periods,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors
2023,negative,849,0.0485,-31.6907,-448.4851,11943.7032,3552.7797,47.3687
2023,0_to_100,8443,0.4821,57.8172,-185.0651,7231.1302,9372.9784,2701.9007
2023,100_to_150,5342,0.305,122.3398,151.366,6661.0777,10870.5011,2672.0738
2023,150_to_200,2163,0.1235,173.7425,237.2925,8070.6153,11624.9575,3412.6805
2023,200_to_250,595,0.034,215.9386,300.1926,7491.6303,14318.4084,3843.9832
2023,250_plus,120,0.0069,306.1114,331.298,5464.8333,19043.8333,3590.45
2024,negative,1073,0.0611,-18.9748,-415.9388,11604.3998,2900.754,1409.836
2024,0_to_100,12196,0.6942,62.69,-75.8873,7640.9133,7824.567,3648.0746
2024,100_to_150,4144,0.2359,114.4005,229.6066,6706.7821,11047.7589,3344.5309
2024,150_to_200,122,0.0069,166.5483,216.784,4164.4426,19967.7869,3271.4098
2024,200_to_250,9,0.0005,225.0389,198.7335,2695.2222,23071.3333,2617.7778
2024,250_plus,24,0.0014,401.2757,259.7688,1804.3333,24738.7917,2638.8333
