year,transition,from_band,to_band,delta_avg_price,delta_avg_imbalance,delta_avg_wind,delta_avg_gas
2023,negative -> 0_to_100,negative,0_to_100,89.5079,263.42,-4712.573,5820.1987
2023,0_to_100 -> 100_to_150,0_to_100,100_to_150,64.5226,336.4311,-570.0525,1497.5227
2023,100_to_150 -> 150_to_200,100_to_150,150_to_200,51.4027,85.9266,1409.5377,754.4563
2023,150_to_200 -> 200_to_250,150_to_200,200_to_250,42.1961,62.9001,-578.9851,2693.4509
2023,200_to_250 -> 250_plus,200_to_250,250_plus,90.1728,31.1054,-2026.7969,4725.4249
2024,negative -> 0_to_100,negative,0_to_100,81.6649,340.0515,-3963.4866,4923.813
2024,0_to_100 -> 100_to_150,0_to_100,100_to_150,51.7105,305.4939,-934.1312,3223.1919
2024,100_to_150 -> 150_to_200,100_to_150,150_to_200,52.1479,-12.8226,-2542.3395,8920.028
2024,150_to_200 -> 200_to_250,150_to_200,200_to_250,58.4905,-18.0505,-1469.2204,3103.5464
2024,200_to_250 -> 250_plus,200_to_250,250_plus,176.2368,61.0353,-890.8889,1667.4583
