year,event_type,event_id,start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,time_band_at_max_price,regime_group,timestamp_at_max_price,timestamp_at_min_price,max_price_change_within_event,min_price_change_within_event,external_context_needed,research_note,likely_internal_driver
2023,large_upward_jump,2023_large_upward_jump_1,2023-01-01 00:00:00+00:00,2023-01-01 00:30:00+00:00,1,0.5,200.0,200.0,200.0,351.6033,11792.0,3282.0,1044.0,night,q1_stress,2023-01-01 00:30:00+00:00,2023-01-01 00:30:00+00:00,208.07,208.07,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from -8.07 to 200.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context
2023,negative_price_cluster,2023_negative_price_cluster_1,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,0.5,-8.07,-8.07,-8.07,-102.6579,11712.0,2973.0,1096.0,night,q1_stress,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,,,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate negative-price event. Check high wind, low demand, negative imbalance, inflexible generation, export/interconnector constraints, and downward balancing pressure.",high_wind+low_gas
2023,near_spike_cluster,2023_near_spike_cluster_1,2023-01-01 00:30:00+00:00,2023-01-01 00:30:00+00:00,1,0.5,200.0,200.0,200.0,351.6033,11792.0,3282.0,1044.0,night,q1_stress,2023-01-01 00:30:00+00:00,2023-01-01 00:30:00+00:00,208.07,208.07,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.",Candidate near-spike event. Useful for studying why stress did or did not become a £250+ spike.,mixed_or_unclear_internal_driver
2023,large_downward_reversal,2023_large_downward_reversal_3,2023-01-01 01:00:00+00:00,2023-01-01 01:30:00+00:00,1,0.5,-17.14,-17.14,-17.14,-353.6672,12214.0,2744.0,592.0,night,q1_stress,2023-01-01 01:30:00+00:00,2023-01-01 01:30:00+00:00,-216.14,-216.14,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 199.0 to -17.14 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context
2023,negative_price_cluster,2023_negative_price_cluster_2,2023-01-01 01:30:00+00:00,2023-01-01 08:30:00+00:00,15,7.5,-17.14,-48.04,-38.0333,-454.9764,10716.6667,2810.8,13.4667,night,q1_stress,2023-01-01 01:30:00+00:00,2023-01-01 03:30:00+00:00,26.24,-216.14,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate negative-price event. Check high wind, low demand, negative imbalance, inflexible generation, export/interconnector constraints, and downward balancing pressure.",high_wind+low_gas+negative_imbalance
2023,large_upward_jump,2023_large_upward_jump_18,2023-01-01 08:30:00+00:00,2023-01-01 09:00:00+00:00,1,0.5,200.0,200.0,200.0,63.3535,10363.0,2629.0,2116.0,morning_ramp,q1_stress,2023-01-01 09:00:00+00:00,2023-01-01 09:00:00+00:00,231.61,231.61,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from -31.61 to 200.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context
2023,near_spike_cluster,2023_near_spike_cluster_2,2023-01-01 09:00:00+00:00,2023-01-01 15:00:00+00:00,13,6.5,237.2303,200.0,204.7485,138.1015,9980.2308,3481.6154,4731.0769,afternoon,q1_stress,2023-01-01 15:00:00+00:00,2023-01-01 09:00:00+00:00,231.61,-4.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.",Candidate near-spike event. Useful for studying why stress did or did not become a £250+ spike.,mixed_or_unclear_internal_driver
2023,positive_spike_cluster,2023_positive_spike_cluster_1,2023-01-01 15:30:00+00:00,2023-01-01 18:00:00+00:00,6,3.0,265.0,250.0,257.5,311.7003,7589.3333,8546.8333,5313.0,afternoon,q1_stress,2023-01-01 15:30:00+00:00,2023-01-01 16:00:00+00:00,27.7697,-15.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate upward price event. Check whether asset outage, interconnector limitation, low wind, high gas reliance, positive imbalance, or evening timing contributed.",low_wind+positive_imbalance
2023,large_downward_reversal,2023_large_downward_reversal_37,2023-01-01 18:00:00+00:00,2023-01-01 18:30:00+00:00,1,0.5,50.0,50.0,50.0,-29.6893,6607.0,8599.0,5474.0,evening_peak,q1_stress,2023-01-01 18:30:00+00:00,2023-01-01 18:30:00+00:00,-200.0,-200.0,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 250.0 to 50.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context
2023,large_upward_jump,2023_large_upward_jump_38,2023-01-01 18:30:00+00:00,2023-01-01 19:00:00+00:00,1,0.5,250.0,250.0,250.0,181.8431,6388.0,8567.0,5580.0,evening_peak,q1_stress,2023-01-01 19:00:00+00:00,2023-01-01 19:00:00+00:00,200.0,200.0,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 50.0 to 250.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context
2023,positive_spike_cluster,2023_positive_spike_cluster_2,2023-01-01 19:00:00+00:00,2023-01-01 19:30:00+00:00,2,1.0,250.0,250.0,250.0,134.3336,6216.5,8570.5,5559.0,evening_peak,q1_stress,2023-01-01 19:00:00+00:00,2023-01-01 19:00:00+00:00,200.0,0.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate upward price event. Check whether asset outage, interconnector limitation, low wind, high gas reliance, positive imbalance, or evening timing contributed.",low_wind
2023,near_spike_cluster,2023_near_spike_cluster_3,2023-01-01 20:00:00+00:00,2023-01-01 21:30:00+00:00,4,2.0,230.0,217.0,223.5,176.4617,5815.25,7330.75,5841.5,late_evening,q1_stress,2023-01-01 20:00:00+00:00,2023-01-01 20:30:00+00:00,13.0,-20.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.",Candidate near-spike event. Useful for studying why stress did or did not become a £250+ spike.,mixed_or_unclear_internal_driver
