year,event_type,event_id,start_time,end_time,duration_periods,duration_hours,max_price,min_price,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,time_band_at_max_price,regime_group,timestamp_at_max_price,timestamp_at_min_price,max_price_change_within_event,min_price_change_within_event,external_context_needed,research_note,likely_internal_driver,priority_reason,external_event_found,external_event_type,external_asset_name,external_event_start,external_event_end,external_capacity_change_mw,external_source,association_assessment,manual_research_note
2023,large_upward_jump,2023_large_upward_jump_1,2023-01-01 00:00:00+00:00,2023-01-01 00:30:00+00:00,1,0.5,200.0,200.0,200.0,351.6033,11792.0,3282.0,1044.0,night,q1_stress,2023-01-01 00:30:00+00:00,2023-01-01 00:30:00+00:00,208.07,208.07,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from -8.07 to 200.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context,top_large_upward_jumps_by_price_change,,,,,,,,,
2023,large_downward_reversal,2023_large_downward_reversal_3,2023-01-01 01:00:00+00:00,2023-01-01 01:30:00+00:00,1,0.5,-17.14,-17.14,-17.14,-353.6672,12214.0,2744.0,592.0,night,q1_stress,2023-01-01 01:30:00+00:00,2023-01-01 01:30:00+00:00,-216.14,-216.14,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 199.0 to -17.14 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context,top_large_downward_reversals_by_price_change,,,,,,,,,
2023,large_upward_jump,2023_large_upward_jump_18,2023-01-01 08:30:00+00:00,2023-01-01 09:00:00+00:00,1,0.5,200.0,200.0,200.0,63.3535,10363.0,2629.0,2116.0,morning_ramp,q1_stress,2023-01-01 09:00:00+00:00,2023-01-01 09:00:00+00:00,231.61,231.61,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from -31.61 to 200.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context,top_large_upward_jumps_by_price_change,,,,,,,,,
2023,large_downward_reversal,2023_large_downward_reversal_37,2023-01-01 18:00:00+00:00,2023-01-01 18:30:00+00:00,1,0.5,50.0,50.0,50.0,-29.6893,6607.0,8599.0,5474.0,evening_peak,q1_stress,2023-01-01 18:30:00+00:00,2023-01-01 18:30:00+00:00,-200.0,-200.0,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 250.0 to 50.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context,top_large_downward_reversals_by_price_change,,,,,,,,,
2023,large_upward_jump,2023_large_upward_jump_38,2023-01-01 18:30:00+00:00,2023-01-01 19:00:00+00:00,1,0.5,250.0,250.0,250.0,181.8431,6388.0,8567.0,5580.0,evening_peak,q1_stress,2023-01-01 19:00:00+00:00,2023-01-01 19:00:00+00:00,200.0,200.0,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 50.0 to 250.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context,top_large_upward_jumps_by_price_change,,,,,,,,,
2023,large_upward_jump,2023_large_upward_jump_45,2023-01-01 22:00:00+00:00,2023-01-01 22:30:00+00:00,1,0.5,290.0,290.0,290.0,149.1241,4767.0,5039.0,6068.0,late_evening,q1_stress,2023-01-01 22:30:00+00:00,2023-01-01 22:30:00+00:00,248.0,248.0,Check REMIT outage/maintenance events and system conditions within +/- 2 hours of this price movement.,Price moved from 42.0 to 290.0 in one settlement period. This is a candidate for event-led explanation.,sudden_price_movement_check_internal_and_external_context,top_large_upward_jumps_by_price_change,,,,,,,,,
2023,positive_spike_cluster,2023_positive_spike_cluster_3,2023-01-01 22:30:00+00:00,2023-01-01 22:30:00+00:00,1,0.5,290.0,290.0,290.0,149.1241,4767.0,5039.0,6068.0,late_evening,q1_stress,2023-01-01 22:30:00+00:00,2023-01-01 22:30:00+00:00,248.0,248.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate upward price event. Check whether asset outage, interconnector limitation, low wind, high gas reliance, positive imbalance, or evening timing contributed.",low_wind,top_positive_spike_clusters_by_max_price,,,,,,,,,
2023,negative_price_cluster,2023_negative_price_cluster_3,2023-01-02 03:30:00+00:00,2023-01-02 05:30:00+00:00,5,2.5,-50.0,-95.71,-72.052,-1082.5618,4654.6,3629.0,5070.4,night,q1_stress,2023-01-02 05:30:00+00:00,2023-01-02 04:00:00+00:00,28.0,-66.55,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate negative-price event. Check high wind, low demand, negative imbalance, inflexible generation, export/interconnector constraints, and downward balancing pressure.",low_gas+negative_imbalance,top_negative_price_clusters_by_min_price,,,,,,,,,
2023,extreme_spike_cluster,2023_extreme_spike_cluster_1,2023-01-02 16:30:00+00:00,2023-01-02 18:00:00+00:00,4,2.0,300.0,300.0,300.0,566.4722,4978.25,13807.75,7004.5,evening_peak,q1_stress,2023-01-02 16:30:00+00:00,2023-01-02 16:30:00+00:00,71.0,0.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate upward price event. Check whether asset outage, interconnector limitation, low wind, high gas reliance, positive imbalance, or evening timing contributed.",low_wind+positive_imbalance,all_extreme_spike_clusters,,,,,,,,,
2023,positive_spike_cluster,2023_positive_spike_cluster_4,2023-01-02 16:30:00+00:00,2023-01-02 18:30:00+00:00,5,2.5,300.0,250.0,290.0,486.6883,4909.4,13717.2,7006.4,evening_peak,q1_stress,2023-01-02 16:30:00+00:00,2023-01-02 18:30:00+00:00,71.0,-50.0,"Check REMIT outage/maintenance, interconnector events, system margin, wind conditions, and fuel-market/system context around this window.","Candidate upward price event. Check whether asset outage, interconnector limitation, low wind, high gas reliance, positive imbalance, or evening timing contributed.",low_wind+positive_imbalance,top_positive_spike_clusters_by_max_price,,,,,,,,,
