year,event_id,event_type,start_time,end_time,max_price,min_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,time_band_at_max_price,regime_group,likely_internal_driver,external_check_window_start,external_check_window_end,api_from,api_to
2023,2023_extreme_spike_cluster_1,extreme_spike_cluster,2023-01-02 16:30:00+00:00,2023-01-02 18:00:00+00:00,300.0,300.0,566.4722,4978.25,13807.75,7004.5,evening_peak,q1_stress,low_wind+positive_imbalance,2023-01-02 14:30:00+00:00,2023-01-02 20:00:00+00:00,2023-01-02T14:30:00Z,2023-01-02T20:00:00Z
2023,2023_extreme_spike_cluster_2,extreme_spike_cluster,2023-01-25 17:00:00+00:00,2023-01-25 17:30:00+00:00,309.0,309.0,259.1976,9227.5,21925.5,8.0,evening_peak,q1_stress,high_gas+positive_imbalance+lower_interconnector_support,2023-01-25 15:00:00+00:00,2023-01-25 19:30:00+00:00,2023-01-25T15:00:00Z,2023-01-25T19:30:00Z
2023,2023_extreme_spike_cluster_3,extreme_spike_cluster,2023-01-26 15:30:00+00:00,2023-01-26 18:00:00+00:00,310.0,304.2895,87.5746,7269.5,21007.8333,2394.6667,evening_peak,q1_stress,high_gas+low_wind+lower_interconnector_support,2023-01-26 13:30:00+00:00,2023-01-26 20:00:00+00:00,2023-01-26T13:30:00Z,2023-01-26T20:00:00Z
2023,2023_extreme_spike_cluster_4,extreme_spike_cluster,2023-03-07 16:00:00+00:00,2023-03-07 17:00:00+00:00,725.0,400.0,132.299,4829.6667,21859.3333,1468.6667,evening_peak,q1_stress,high_gas+low_wind+lower_interconnector_support,2023-03-07 14:00:00+00:00,2023-03-07 19:00:00+00:00,2023-03-07T14:00:00Z,2023-03-07T19:00:00Z
2023,2023_large_upward_jump_3152,large_upward_jump,2023-03-07 17:30:00+00:00,2023-03-07 18:00:00+00:00,1950.0,1950.0,514.5561,3332.0,23431.0,2066.0,evening_peak,q1_stress,sudden_price_movement_check_internal_and_external_context,2023-03-07 15:30:00+00:00,2023-03-07 20:00:00+00:00,2023-03-07T15:30:00Z,2023-03-07T20:00:00Z
2023,2023_extreme_spike_cluster_5,extreme_spike_cluster,2023-03-07 18:00:00+00:00,2023-03-07 18:30:00+00:00,1950.0,1950.0,612.736,3103.5,23852.0,2171.0,evening_peak,q1_stress,high_gas+low_wind+positive_imbalance+lower_interconnector_support,2023-03-07 16:00:00+00:00,2023-03-07 20:30:00+00:00,2023-03-07T16:00:00Z,2023-03-07T20:30:00Z
2023,2023_extreme_spike_cluster_6,extreme_spike_cluster,2023-03-07 20:00:00+00:00,2023-03-07 20:00:00+00:00,300.0,300.0,107.5025,1435.0,23635.0,4264.0,late_evening,q1_stress,high_gas+low_wind,2023-03-07 18:00:00+00:00,2023-03-07 22:00:00+00:00,2023-03-07T18:00:00Z,2023-03-07T22:00:00Z
2023,2023_extreme_spike_cluster_7,extreme_spike_cluster,2023-06-12 22:00:00+00:00,2023-06-12 22:00:00+00:00,370.0,370.0,764.3291,3173.0,13282.0,2490.0,late_evening,apr_sep_quiet,low_wind+positive_imbalance+lower_interconnector_support,2023-06-12 20:00:00+00:00,2023-06-13 00:00:00+00:00,2023-06-12T20:00:00Z,2023-06-13T00:00:00Z
2023,2023_extreme_spike_cluster_8,extreme_spike_cluster,2023-10-16 18:00:00+00:00,2023-10-16 18:00:00+00:00,310.0,310.0,320.6346,3063.0,19292.0,4070.0,evening_peak,oct_nov_transition,high_gas+low_wind+positive_imbalance,2023-10-16 16:00:00+00:00,2023-10-16 20:00:00+00:00,2023-10-16T16:00:00Z,2023-10-16T20:00:00Z
2023,2023_extreme_spike_cluster_9,extreme_spike_cluster,2023-12-01 19:00:00+00:00,2023-12-01 19:00:00+00:00,300.0,300.0,68.1751,811.0,26167.0,4750.0,evening_peak,dec_windy,high_gas+low_wind,2023-12-01 17:00:00+00:00,2023-12-01 21:00:00+00:00,2023-12-01T17:00:00Z,2023-12-01T21:00:00Z
2024,2024_positive_spike_cluster_1,positive_spike_cluster,2024-10-14 15:00:00+00:00,2024-10-14 17:30:00+00:00,669.212,251.94,763.8646,2286.5,20016.6667,2348.0,evening_peak,oct_nov_transition,high_gas+low_wind+positive_imbalance+lower_interconnector_support,2024-10-14 13:00:00+00:00,2024-10-14 19:30:00+00:00,2024-10-14T13:00:00Z,2024-10-14T19:30:00Z
2024,2024_extreme_spike_cluster_1,extreme_spike_cluster,2024-10-14 15:30:00+00:00,2024-10-14 17:30:00+00:00,669.212,309.06,901.1316,2319.4,20137.2,2426.0,evening_peak,oct_nov_transition,high_gas+low_wind+positive_imbalance+lower_interconnector_support,2024-10-14 13:30:00+00:00,2024-10-14 19:30:00+00:00,2024-10-14T13:30:00Z,2024-10-14T19:30:00Z
