year,event_type,relative_period,observations,avg_price,avg_imbalance,avg_wind,avg_gas
2023,spike,t-4,120,193.5633,32.0539,6009.4667,17746.9333
2023,spike,t-3,120,206.6284,68.4329,5918.3417,18145.4417
2023,spike,t-2,120,206.1422,134.9924,5897.4917,18675.925
2023,spike,t-1,120,244.9585,235.9856,5620.2583,18834.5667
2023,spike,t,120,306.1114,331.298,5464.8333,19043.8333
2023,near_spike,t-4,594,162.3937,91.8612,7677.9882,13384.803
2023,near_spike,t-3,594,171.8641,131.6898,7671.9562,13733.2929
2023,near_spike,t-2,594,183.7663,180.3148,7679.7138,14075.9697
2023,near_spike,t-1,595,189.1183,229.6165,7591.4639,14179.9479
2023,near_spike,t,595,215.9386,300.1926,7491.6303,14318.4084
2024,spike,t-4,24,171.5814,21.5142,2017.0833,24197.5417
2024,spike,t-3,24,203.0899,51.18,1962.0833,24447.2917
2024,spike,t-2,24,252.9989,126.1096,1910.6667,24598.25
2024,spike,t-1,24,288.681,174.2036,1860.1667,24700.7917
2024,spike,t,24,401.2757,259.7688,1804.3333,24738.7917
2024,near_spike,t-4,9,106.1847,-52.6695,3219.6667,21238.0
2024,near_spike,t-3,9,162.1062,-25.6821,3101.7778,21654.4444
2024,near_spike,t-2,9,168.2167,128.6387,2929.8889,22583.8889
2024,near_spike,t-1,9,207.1256,115.3085,2809.2222,22810.7778
2024,near_spike,t,9,225.0389,198.7335,2695.2222,23071.3333
