year,regime_group,threshold,rows_in_regime,periods_above_threshold,probability_above_threshold,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors
2023,q1_stress,100,4314,2861,0.6632,172.4456,135.0596,8514.2195,12411.7249,3471.5722
2023,q1_stress,150,4314,2040,0.4729,195.7858,240.5968,9117.152,11739.577,3724.1353
2023,q1_stress,200,4314,660,0.153,231.6259,295.3386,7428.6364,14967.4348,3868.6697
2023,q1_stress,250,4314,111,0.0257,307.3691,328.4138,5715.4775,18929.4595,3512.9189
2023,q1_stress,300,4314,18,0.0042,531.1828,279.978,5784.2222,20113.6667,3078.5556
2023,apr_sep_quiet,100,8783,3439,0.3916,128.7017,201.2332,5137.8421,10761.5996,2675.4527
2023,apr_sep_quiet,150,8783,466,0.0531,168.4189,280.4327,4323.9206,13176.1202,3083.8155
2023,apr_sep_quiet,200,8783,27,0.0031,215.8635,490.2316,3659.4815,13317.037,3358.8148
2023,apr_sep_quiet,250,8783,1,0.0001,370.0,764.3291,3173.0,13282.0,2490.0
2023,apr_sep_quiet,300,8783,1,0.0001,370.0,764.3291,3173.0,13282.0,2490.0
2023,oct_nov_transition,100,2928,1480,0.5055,136.8678,244.0904,8239.6608,10407.7236,2938.7405
2023,oct_nov_transition,150,2928,298,0.1018,168.4153,311.3703,5475.8322,14459.7886,2914.8188
2023,oct_nov_transition,200,2928,23,0.0079,232.2365,379.8618,3846.7826,19876.4348,2664.5217
2023,oct_nov_transition,250,2928,6,0.002,280.9617,396.2136,2742.6667,19724.6667,4849.3333
2023,oct_nov_transition,300,2928,1,0.0003,310.0,320.6346,3063.0,19292.0,4070.0
2023,dec_windy,100,1487,440,0.2959,127.3294,228.4788,8933.1795,13857.2636,2026.1
2023,dec_windy,150,1487,74,0.0498,174.9718,234.4159,4382.5135,20968.5135,2658.6757
2023,dec_windy,200,1487,5,0.0034,234.8059,294.7681,4623.6,21897.6,2546.0
2023,dec_windy,250,1487,2,0.0013,279.8148,80.1125,866.5,26230.0,4667.0
2023,dec_windy,300,1487,1,0.0007,300.0,68.1751,811.0,26167.0,4750.0
2024,q1_quiet,100,4368,510,0.1168,112.776,297.3697,7227.2431,16387.9529,2997.7843
2024,q1_quiet,150,4368,4,0.0009,169.8634,234.9378,5321.25,15841.0,3593.5
2024,q1_quiet,200,4368,0,0.0,,,,,
2024,q1_quiet,250,4368,0,0.0,,,,,
2024,q1_quiet,300,4368,0,0.0,,,,,
2024,apr_sep_quiet,100,8784,1934,0.2202,111.4613,251.5393,4964.6412,8383.635,3908.6194
2024,apr_sep_quiet,150,8784,14,0.0016,166.1693,387.7372,3020.0714,13414.8571,3058.7143
2024,apr_sep_quiet,200,8784,1,0.0001,200.0,1229.6836,1079.0,12997.0,2896.0
2024,apr_sep_quiet,250,8784,0,0.0,,,,,
2024,apr_sep_quiet,300,8784,0,0.0,,,,,
2024,oct_nov_transition,100,2928,1187,0.4054,122.6459,186.6396,7638.3656,13002.2376,2913.5602
2024,oct_nov_transition,150,2928,49,0.0167,221.6741,263.7534,2764.7143,20068.3878,3530.6531
2024,oct_nov_transition,200,2928,11,0.0038,414.9165,453.2358,2318.3636,21707.9091,2812.7273
2024,oct_nov_transition,250,2928,10,0.0034,431.5082,497.2509,2270.8,21496.8,2740.4
2024,oct_nov_transition,300,2928,6,0.002,542.6903,753.5526,2083.3333,20761.0,2486.6667
2024,dec_stress,100,1488,668,0.4489,130.8203,189.0476,9003.4102,13493.8533,2693.4192
2024,dec_stress,150,1488,88,0.0591,205.7615,172.4853,4279.3864,22760.4545,2906.8864
2024,dec_stress,200,1488,21,0.0141,328.185,86.0846,1951.4286,26170.9048,2526.4762
2024,dec_stress,250,1488,14,0.0094,379.681,90.1388,1471.1429,27054.5,2566.2857
2024,dec_stress,300,1488,11,0.0074,402.8395,104.6337,1454.9091,27036.9091,2337.6364
