year,threshold,time_band,rows_in_time_band,periods_above_threshold,probability_above_threshold,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors
2023,100,night,4374,1537,0.3514,135.5894,132.9088,6528.5615,8393.6597,1379.0488
2023,100,morning_ramp,2920,1526,0.5226,147.3733,205.9715,6783.998,11751.1809,3086.3408
2023,100,midday,2920,1260,0.4315,142.5483,194.3101,7251.6286,11313.65,3979.4667
2023,100,afternoon,1460,623,0.4267,144.218,169.1406,7368.9839,12026.8539,3455.817
2023,100,evening_peak,2920,1881,0.6442,155.8343,223.4516,7299.3312,13423.6188,3449.7416
2023,100,late_evening,2918,1393,0.4774,142.6315,180.2728,7400.407,11621.3927,2791.4214
2023,150,night,4374,433,0.099,175.853,218.0777,7635.9515,8194.6998,1788.8406
2023,150,morning_ramp,2920,574,0.1966,187.1189,283.0056,7535.9425,13107.5505,3116.101
2023,150,midday,2920,408,0.1397,186.364,238.178,8109.8358,12804.076,4342.4902
2023,150,afternoon,1460,219,0.15,186.9425,186.7115,8011.8174,13258.6986,3910.6941
2023,150,evening_peak,2920,776,0.2658,199.5047,286.0614,7641.5438,14524.0992,4117.7088
2023,150,late_evening,2918,468,0.1604,183.0742,245.1093,8429.0684,11707.3462,3660.0897
2023,200,night,4374,41,0.0094,215.1184,317.4387,6354.1707,8033.8537,3176.4878
2023,200,morning_ramp,2920,154,0.0527,219.9572,369.4585,7377.0779,15647.3636,2754.1688
2023,200,midday,2920,100,0.0342,215.7238,268.6356,7350.21,14597.4,4409.32
2023,200,afternoon,1460,59,0.0404,223.0265,188.5059,7583.7966,15602.1186,3523.4915
2023,200,evening_peak,2920,263,0.0901,251.3876,314.9929,7177.7795,16694.4106,4215.8707
2023,200,late_evening,2918,98,0.0336,221.201,281.9413,6596.8163,13211.5918,4143.4082
2023,250,night,4374,2,0.0005,272.5,209.4164,6178.0,9976.0,4028.0
2023,250,morning_ramp,2920,14,0.0048,257.0757,407.7401,5397.8571,22308.2857,1330.4286
2023,250,midday,2920,5,0.0017,252.4,352.0241,5145.0,19442.4,4283.6
2023,250,afternoon,1460,7,0.0048,274.6842,302.7189,6867.5714,18475.8571,1884.5714
2023,250,evening_peak,2920,83,0.0284,324.2232,324.0913,5543.7952,18897.8072,4022.8675
2023,250,late_evening,2918,9,0.0031,277.1111,316.649,3769.0,17547.8889,3962.6667
2023,300,night,4374,0,0.0,,,,,
2023,300,morning_ramp,2920,0,0.0,,,,,
2023,300,midday,2920,0,0.0,,,,,
2023,300,afternoon,1460,1,0.0007,304.2895,35.9494,7801.0,20612.0,892.0
2023,300,evening_peak,2920,18,0.0062,531.5,293.6089,5486.3333,20181.0,3282.1111
2023,300,late_evening,2918,2,0.0007,335.0,435.9158,2304.0,18458.5,3377.0
2024,100,night,4392,493,0.1122,111.0345,222.2412,6435.8763,6814.3895,2603.4037
2024,100,morning_ramp,2928,859,0.2934,117.0955,256.3329,6602.3935,10954.0105,3099.3364
2024,100,midday,2928,624,0.2131,118.3851,233.181,6479.9359,12509.9359,4036.4904
2024,100,afternoon,1464,367,0.2507,119.2544,196.678,6782.6894,13055.891,3461.9074
2024,100,evening_peak,2928,1335,0.4559,121.8039,231.3439,6563.0944,13022.3131,3362.1948
2024,100,late_evening,2928,621,0.2121,113.4921,208.8179,6811.1546,10093.1836,3417.2496
2024,150,night,4392,1,0.0002,150.0,87.836,2640.0,8613.0,4304.0
2024,150,morning_ramp,2928,24,0.0082,210.6749,214.0436,2936.25,22946.5417,1907.25
2024,150,midday,2928,14,0.0048,261.385,80.5485,2174.5714,24021.7143,3551.1429
2024,150,afternoon,1464,21,0.0143,180.1219,187.3826,2936.0476,20323.6667,3078.8571
2024,150,evening_peak,2928,82,0.028,208.0179,269.2549,4329.5976,20279.1829,3421.9024
2024,150,late_evening,2928,13,0.0044,174.5577,161.8619,4260.3846,19393.7692,3150.6154
2024,200,night,4392,0,0.0,,,,,
2024,200,morning_ramp,2928,9,0.0031,285.0339,110.2591,2278.7778,26147.7778,1324.2222
2024,200,midday,2928,6,0.002,383.4151,43.5965,1427.8333,27031.3333,3281.0
2024,200,afternoon,1464,2,0.0014,280.5,148.9919,2083.0,19615.5,2042.0
2024,200,evening_peak,2928,14,0.0048,409.9407,445.1416,2174.5714,22606.4286,3147.5714
2024,200,late_evening,2928,2,0.0007,245.0,119.5883,1937.5,24067.0,3569.0
2024,250,night,4392,0,0.0,,,,,
2024,250,morning_ramp,2928,5,0.0017,340.791,149.48,1210.8,27665.0,1125.6
2024,250,midday,2928,6,0.002,383.4151,43.5965,1427.8333,27031.3333,3281.0
2024,250,afternoon,1464,2,0.0014,280.5,148.9919,2083.0,19615.5,2042.0
2024,250,evening_peak,2928,11,0.0038,460.47,447.9535,2228.8182,23089.7273,3084.9091
2024,250,late_evening,2928,0,0.0,,,,,
2024,300,night,4392,0,0.0,,,,,
2024,300,morning_ramp,2928,5,0.0017,340.791,149.48,1210.8,27665.0,1125.6
2024,300,midday,2928,3,0.001,472.0635,50.2023,1325.0,26943.6667,3157.3333
2024,300,afternoon,1464,1,0.0007,309.06,220.4543,2044.0,19817.0,2126.0
2024,300,evening_peak,2928,8,0.0027,532.2713,569.2282,2053.875,22874.875,2926.0
2024,300,late_evening,2928,0,0.0,,,,,
