year,threshold,periods_above_threshold,probability_above_threshold,avg_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,share_imbalance_gt_150,share_wind_lt_8000,share_gas_gt_15000,share_evening_peak
2023,100,8220,0.4694,145.3238,187.3761,7074.6372,11437.9213,2965.191,0.4971,0.6311,0.2613,0.2288
2023,150,2878,0.1643,187.9854,254.2162,7842.2658,12491.1383,3509.2606,0.6185,0.5733,0.368,0.2696
2023,200,715,0.0408,231.0725,305.4131,7151.4685,15111.4867,3801.4322,0.6951,0.6322,0.5804,0.3678
2023,250,120,0.0069,306.1114,331.298,5464.8333,19043.8333,3590.45,0.7,0.8333,0.7417,0.6917
2023,300,21,0.0012,501.9662,294.8925,5293.4762,20037.4762,3177.3333,0.5238,0.9048,0.7619,0.8571
2024,100,4299,0.2447,117.7135,229.3465,6598.8667,11402.502,3336.9946,0.5711,0.6629,0.2584,0.3105
2024,150,155,0.0088,206.2894,222.3916,3713.6968,20886.729,3135.5097,0.5161,0.8839,0.9032,0.529
2024,200,33,0.0019,353.2111,243.1228,2047.303,24284.0303,2633.0909,0.3333,1.0,0.9697,0.4242
2024,250,24,0.0014,401.2757,259.7688,1804.3333,24738.7917,2638.8333,0.375,1.0,1.0,0.4583
2024,300,17,0.001,452.1986,333.6639,1676.7059,24821.8824,2390.2353,0.5294,1.0,1.0,0.4706
