year,time_band,rows,spikes,spike_probability,avg_price,avg_imbalance,avg_wind,avg_gas
2023,night,4374,2,0.0005,77.2325,-89.871,7011.3025,7359.1758
2023,morning_ramp,3650,18,0.0049,99.2049,0.515,7092.8321,10373.2967
2023,midday,3650,8,0.0022,88.6374,-62.8988,7332.2696,10274.9463
2023,evening_peak,2920,83,0.0284,121.0002,86.0319,7528.1353,12868.8223
2023,late_evening,2918,9,0.0031,95.6295,-11.4648,8240.2128,10637.4219
2024,night,4392,0,0.0,57.0935,-84.6113,7285.1405,5480.1038
2024,morning_ramp,3660,7,0.0019,75.2662,5.4922,7273.0995,8757.9123
2024,midday,3660,6,0.0016,68.1336,-53.6425,7513.7844,8868.8415
2024,evening_peak,2928,11,0.0038,91.9199,84.0339,7792.9638,11549.7773
2024,late_evening,2928,0,0.0,70.1908,-28.713,8563.6943,8592.8965
