case_id,case_type,regime_group,dominant_time_band,max_price,internal_driver_summary,dominant_assets,dominant_repeated_assets,dominant_case_specific_assets,dominant_asset_count,repeated_dominant_asset_count,case_specific_dominant_asset_count,max_unavailable_capacity,remit_context_type,paper_ready_framing
2025_case_01_jan_08_extreme_spike,extreme_positive_spike,jan_spike_stress,midday,2900.0,sudden_price_movement_check_internal_and_external_context,"NGIFA, SSETGSL, MPL, KGL, NGVLL, MEDWAY","NGIFA, SSETGSL, KGL, BEGL001, DRAX",NGVLL,8,5,1,1000.0,repeated_background_external_context,"For 2025_case_01_jan_08_extreme_spike, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, SSETGSL, KGL, BEGL001, DRAX. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jan_spike_stress regime and midday time band."
2025_case_02_jan_20_evening_scarcity,evening_scarcity_spike,jan_spike_stress,evening_peak,678.4771,sudden_price_movement_check_internal_and_external_context,"NGIFA, CENLANG, BEGL001, DRAX, INNOGY01, DEESIDE","NGIFA, CENLANG, BEGL001, DRAX, INNOGY01, DEESIDE",,8,8,0,1500.0,repeated_background_external_context,"For 2025_case_02_jan_20_evening_scarcity, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, CENLANG, BEGL001, DRAX, INNOGY01, DEESIDE. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jan_spike_stress regime and evening_peak time band."
2025_case_03_jan_22_morning_ramp_scarcity,morning_ramp_scarcity_spike,jan_spike_stress,morning_ramp,450.0,sudden_price_movement_check_internal_and_external_context,"NGIFA, BEGL001, DRAX, DEESIDE, KGL, EECL","NGIFA, BEGL001, DRAX, DEESIDE, KGL, EECL",,8,7,0,1500.0,repeated_background_external_context,"For 2025_case_03_jan_22_morning_ramp_scarcity, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, BEGL001, DRAX, DEESIDE, KGL, EECL. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jan_spike_stress regime and morning_ramp time band."
2025_case_04_jun_30_mixed_tail_spike,mixed_tail_positive_spike,jun_mixed_tail,evening_peak,423.85,low_wind+very_positive_imbalance+lower_interconnector_support,"NGIFA, MPL, KGL, SPGEN01, SEABANK, MEDWAY","NGIFA, KGL, SPGEN01, SEABANK, CECL, INNOGY01",,8,6,0,1000.0,repeated_background_external_context,"For 2025_case_04_jun_30_mixed_tail_spike, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, KGL, SPGEN01, SEABANK, CECL, INNOGY01. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: low_wind+very_positive_imbalance+lower_interconnector_support, within the jun_mixed_tail regime and evening_peak time band."
2025_case_05_jul_01_near_spike,near_spike_continuation,jul_sep_surplus,evening_peak,263.58,sudden_price_movement_check_internal_and_external_context,"MPL, KGL, SPGEN01, SEABANK, MEDWAY, CECL","KGL, SPGEN01, SEABANK, CECL, INNOGY01, DRAX",,8,6,0,880.0,repeated_background_external_context,"For 2025_case_05_jul_01_near_spike, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include KGL, SPGEN01, SEABANK, CECL, INNOGY01, DRAX. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the jul_sep_surplus regime and evening_peak time band."
2025_case_06_oct_13_autumn_spike,autumn_mixed_transition_spike,oct_mixed_transition,midday,487.0,sudden_price_movement_check_internal_and_external_context,"ELECL1, NGIFA, CENLANG, ICHPLLP, BEGL001, DRAX","NGIFA, CENLANG, ICHPLLP, BEGL001, DRAX, CECL",ELECL1,8,7,1,1014.0,repeated_background_external_context,"For 2025_case_06_oct_13_autumn_spike, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, CENLANG, ICHPLLP, BEGL001, DRAX, CECL. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the oct_mixed_transition regime and midday time band."
2025_case_07_oct_14_evening_spike,autumn_evening_spike,oct_mixed_transition,evening_peak,300.0,sudden_price_movement_check_internal_and_external_context,"ELECL1, NGIFA, CENLANG, ICHPLLP, BEGL001, DRAX","NGIFA, CENLANG, ICHPLLP, BEGL001, DRAX, CECL",ELECL1,8,7,1,1014.0,repeated_background_external_context,"For 2025_case_07_oct_14_evening_spike, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, CENLANG, ICHPLLP, BEGL001, DRAX, CECL. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the oct_mixed_transition regime and evening_peak time band."
2025_case_08_oct_22_evening_spike,autumn_evening_spike,oct_mixed_transition,evening_peak,315.1,sudden_price_movement_check_internal_and_external_context,"SSETGSL, ICHPLLP, BEGL001, DRAX, DEESIDE, KGL","SSETGSL, ICHPLLP, BEGL001, DRAX, DEESIDE, KGL",,8,8,0,1180.0,repeated_background_external_context,"For 2025_case_08_oct_22_evening_spike, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include SSETGSL, ICHPLLP, BEGL001, DRAX, DEESIDE, KGL. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: sudden_price_movement_check_internal_and_external_context, within the oct_mixed_transition regime and evening_peak time band."
2025_case_09_mar_30_negative_price_cluster,negative_price_cluster,feb_mar_broad_stress,night,-0.46,high_wind+negative_imbalance+lower_interconnector_support,"INNOGY01, DRAX, BEGL001, DEESIDE, KGL, EECL","INNOGY01, DRAX, BEGL001, DEESIDE, KGL, EECL",,7,7,0,730.0,repeated_background_external_context,"For 2025_case_09_mar_30_negative_price_cluster, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include INNOGY01, DRAX, BEGL001, DEESIDE, KGL, EECL. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: high_wind+negative_imbalance+lower_interconnector_support, within the feb_mar_broad_stress regime and night time band."
2025_case_10_apr_05_negative_price_cluster,negative_price_cluster,apr_may_surplus_shift,afternoon,105.0,low_wind+negative_imbalance,"NGIFA, KGL, SEABANK, SPGEN01, DRAX, BEGL001","NGIFA, KGL, SEABANK, SPGEN01, DRAX, BEGL001",,8,8,0,1000.0,repeated_background_external_context,"For 2025_case_10_apr_05_negative_price_cluster, REMIT evidence shows material asset unavailability during the case window, but the dominant assets also recur across multiple 2025 case windows. The main repeated assets include NGIFA, KGL, SEABANK, SPGEN01, DRAX, BEGL001. This should be interpreted as repeated external availability background, not direct single-outage causality. The primary explanation remains the internal market fingerprint: low_wind+negative_imbalance, within the apr_may_surplus_shift regime and afternoon time band."
