case_id,year,event_window_start,event_window_end,case_type,events_found,max_price,min_price,avg_price,max_price_time,dominant_time_band,regime_group,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,linked_event_types,linked_event_ids,why_selected_for_paper,external_check_window_start,external_check_window_end,internal_driver_summary,api_from,api_to
2025_case_01_jan_08_extreme_spike,2025,2025-01-08 10:00:00+00:00,2025-01-08 21:30:00+00:00,extreme_positive_spike,18,2900.0,112.0,983.3562,2025-01-08 15:00:00+00:00,midday,jan_spike_stress,112.5269,2819.466,24021.7191,4141.3457,extreme_spike_cluster|large_downward_reversal|large_upward_jump|near_spike_cluster|positive_spike_cluster,2025_extreme_spike_cluster_1|2025_extreme_spike_cluster_2|2025_extreme_spike_cluster_3|2025_large_downward_reversal_363|2025_large_downward_reversal_374|2025_large_downward_reversal_376|2025_large_downward_reversal_379|2025_large_upward_jump_360|2025_large_upward_jump_361|2025_large_upward_jump_365|2025_large_upward_jump_366|2025_large_upward_jump_375|2025_large_upward_jump_378|2025_near_spike_cluster_1|2025_positive_spike_cluster_1|2025_positive_spike_cluster_2|2025_positive_spike_cluster_3|2025_positive_spike_cluster_4,Largest 2025 price event. Captures the main £2900/MWh extreme spike episode and sharp intraday price discontinuity.,2025-01-08 08:00:00+00:00,2025-01-08 23:30:00+00:00,very_high_gas+very_low_wind,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z
2025_case_02_jan_20_evening_scarcity,2025,2025-01-20 05:00:00+00:00,2025-01-20 21:00:00+00:00,evening_scarcity_spike,16,678.4771,87.85,309.4849,2025-01-20 17:00:00+00:00,evening_peak,jan_spike_stress,53.5501,2281.3333,26359.8125,1845.6667,extreme_spike_cluster|large_downward_reversal|large_upward_jump|near_spike_cluster|positive_spike_cluster,2025_extreme_spike_cluster_4|2025_extreme_spike_cluster_5|2025_large_downward_reversal_927|2025_large_downward_reversal_933|2025_large_downward_reversal_947|2025_large_downward_reversal_948|2025_large_downward_reversal_951|2025_large_upward_jump_926|2025_large_upward_jump_932|2025_large_upward_jump_945|2025_large_upward_jump_946|2025_large_upward_jump_950|2025_near_spike_cluster_4|2025_positive_spike_cluster_5|2025_positive_spike_cluster_6|2025_positive_spike_cluster_7,"Important January scarcity event with very high gas generation, low wind and lower interconnector support.",2025-01-20 04:30:00+00:00,2025-01-20 21:30:00+00:00,very_high_gas+very_low_wind+lower_interconnector_support,2025-01-20T04:30:00Z,2025-01-20T21:30:00Z
2025_case_03_jan_22_morning_ramp_scarcity,2025,2025-01-22 04:30:00+00:00,2025-01-22 09:00:00+00:00,morning_ramp_scarcity_spike,5,450.0,199.0697,355.8139,2025-01-22 07:00:00+00:00,morning_ramp,jan_spike_stress,146.2095,113.4,25978.6,2085.2,extreme_spike_cluster|large_downward_reversal|large_upward_jump|positive_spike_cluster,2025_extreme_spike_cluster_6|2025_large_downward_reversal_1023|2025_large_upward_jump_1021|2025_large_upward_jump_1022|2025_positive_spike_cluster_9,Morning ramp scarcity case with exceptionally low wind and very high gas generation.,2025-01-22 04:00:00+00:00,2025-01-22 09:30:00+00:00,very_high_gas+very_low_wind+lower_interconnector_support,2025-01-22T04:00:00Z,2025-01-22T09:30:00Z
2025_case_04_jun_30_mixed_tail_spike,2025,2025-06-30 14:30:00+00:00,2025-06-30 21:30:00+00:00,mixed_tail_positive_spike,6,423.85,76.3,279.0315,2025-06-30 17:00:00+00:00,evening_peak,jun_mixed_tail,650.2377,7082.8194,12475.2639,1144.5278,extreme_spike_cluster|large_downward_reversal|large_upward_jump|near_spike_cluster|positive_spike_cluster,2025_extreme_spike_cluster_7|2025_large_downward_reversal_8680|2025_large_upward_jump_8672|2025_large_upward_jump_8674|2025_near_spike_cluster_11|2025_positive_spike_cluster_10,Non-January spike event showing mixed-tail behaviour with strong positive imbalance and reduced interconnector support.,2025-06-30 13:30:00+00:00,2025-06-30 22:00:00+00:00,low_wind+very_positive_imbalance+lower_interconnector_support,2025-06-30T13:30:00Z,2025-06-30T22:00:00Z
2025_case_05_jul_01_near_spike,2025,2025-07-01 15:00:00+00:00,2025-07-01 19:30:00+00:00,near_spike_continuation,4,263.58,102.0,219.425,2025-07-01 17:00:00+00:00,evening_peak,jul_sep_surplus,235.9436,4023.5,14227.75,2328.5,large_downward_reversal|large_upward_jump|near_spike_cluster|positive_spike_cluster,2025_large_downward_reversal_8724|2025_large_upward_jump_8722|2025_near_spike_cluster_12|2025_positive_spike_cluster_11,Near-spike case useful for comparing stressed conditions that nearly converted into a full £250+/MWh event.,2025-07-01 14:30:00+00:00,2025-07-01 20:00:00+00:00,low_wind+positive_imbalance+lower_interconnector_support,2025-07-01T14:30:00Z,2025-07-01T20:00:00Z
2025_case_06_oct_13_autumn_spike,2025,2025-10-13 09:30:00+00:00,2025-10-13 19:30:00+00:00,autumn_mixed_transition_spike,9,487.0,95.0,297.8783,2025-10-13 11:30:00+00:00,midday,oct_mixed_transition,180.1893,1040.6667,21930.8056,3337.0,extreme_spike_cluster|large_downward_reversal|large_upward_jump|near_spike_cluster|positive_spike_cluster,2025_extreme_spike_cluster_8|2025_large_downward_reversal_13704|2025_large_downward_reversal_13705|2025_large_downward_reversal_13716|2025_large_upward_jump_13703|2025_large_upward_jump_13708|2025_near_spike_cluster_13|2025_positive_spike_cluster_12|2025_positive_spike_cluster_13,"Autumn transition event with low wind, high gas and positive imbalance conditions.",2025-10-13 09:00:00+00:00,2025-10-13 20:00:00+00:00,very_high_gas+very_low_wind+positive_imbalance,2025-10-13T09:00:00Z,2025-10-13T20:00:00Z
2025_case_07_oct_14_evening_spike,2025,2025-10-14 15:00:00+00:00,2025-10-14 19:00:00+00:00,autumn_evening_spike,4,300.0,90.0,247.5,2025-10-14 17:00:00+00:00,evening_peak,oct_mixed_transition,10.2585,3639.5,22552.75,1931.0,extreme_spike_cluster|large_downward_reversal|large_upward_jump|positive_spike_cluster,2025_extreme_spike_cluster_9|2025_large_downward_reversal_13763|2025_large_upward_jump_13762|2025_positive_spike_cluster_14,Short evening spike during the October mixed-transition regime.,2025-10-14 14:30:00+00:00,2025-10-14 19:30:00+00:00,very_high_gas+low_wind+lower_interconnector_support,2025-10-14T14:30:00Z,2025-10-14T19:30:00Z
2025_case_08_oct_22_evening_spike,2025,2025-10-22 13:30:00+00:00,2025-10-22 19:30:00+00:00,autumn_evening_spike,6,315.1,76.41,230.9938,2025-10-22 16:00:00+00:00,evening_peak,oct_mixed_transition,274.7258,2228.375,19440.125,3955.9167,extreme_spike_cluster|large_downward_reversal|large_upward_jump|near_spike_cluster|positive_spike_cluster,2025_extreme_spike_cluster_10|2025_large_downward_reversal_14148|2025_large_upward_jump_14142|2025_large_upward_jump_14144|2025_near_spike_cluster_14|2025_positive_spike_cluster_16,"October evening event with high gas, very low wind and positive imbalance.",2025-10-22 12:30:00+00:00,2025-10-22 20:00:00+00:00,high_gas+very_low_wind+positive_imbalance,2025-10-22T12:30:00Z,2025-10-22T20:00:00Z
2025_case_09_mar_30_negative_price_cluster,2025,2025-03-30 01:30:00+00:00,2025-03-30 18:00:00+00:00,negative_price_cluster,3,-0.46,-95.0,-16.1505,2025-03-30 15:30:00+00:00,night,feb_mar_broad_stress,-929.5982,14155.119,3201.7593,-1428.2434,negative_price_cluster,2025_negative_price_cluster_45|2025_negative_price_cluster_46|2025_negative_price_cluster_47,Major negative-price cluster showing downward-price formation under surplus/negative imbalance conditions.,2025-03-29 23:30:00+00:00,2025-03-30 18:00:00+00:00,low_gas+very_high_wind+very_negative_imbalance+lower_interconnector_support,2025-03-29T23:30:00Z,2025-03-30T18:00:00Z
2025_case_10_apr_05_negative_price_cluster,2025,2025-04-05 03:00:00+00:00,2025-04-05 17:30:00+00:00,negative_price_cluster,3,105.0,-87.32,13.0547,2025-04-05 16:00:00+00:00,afternoon,apr_may_surplus_shift,-322.3418,8131.375,2573.75,3427.0,large_upward_jump|negative_price_cluster,2025_large_upward_jump_4544|2025_negative_price_cluster_53|2025_negative_price_cluster_54,Deep April negative-price case during the surplus-shift regime.,2025-04-05 01:00:00+00:00,2025-04-05 18:00:00+00:00,low_gas+very_negative_imbalance,2025-04-05T01:00:00Z,2025-04-05T18:00:00Z
2025_case_11_jun_22_negative_price_cluster,2025,2025-06-22 00:30:00+00:00,2025-06-22 17:30:00+00:00,negative_price_cluster,1,-1.23,-78.67,-34.7837,2025-06-22 15:30:00+00:00,afternoon,jun_mixed_tail,-899.4649,10424.7778,2475.8889,583.3333,negative_price_cluster,2025_negative_price_cluster_113,Long June negative-price cluster during the mixed-tail regime.,2025-06-22 00:30:00+00:00,2025-06-22 17:30:00+00:00,low_gas+high_wind+very_negative_imbalance+lower_interconnector_support,2025-06-22T00:30:00Z,2025-06-22T17:30:00Z
2025_case_12_sep_06_negative_price_cluster,2025,2025-09-06 07:00:00+00:00,2025-09-06 23:30:00+00:00,negative_price_cluster,4,-0.75,-87.0,-20.827,2025-09-06 22:30:00+00:00,late_evening,jul_sep_surplus,-502.2066,17526.3873,4178.4706,-1412.9216,negative_price_cluster,2025_negative_price_cluster_198|2025_negative_price_cluster_199|2025_negative_price_cluster_200|2025_negative_price_cluster_201,Large summer/autumn negative-price case showing surplus conditions and sharp price reversals.,2025-09-06 07:00:00+00:00,2025-09-07 01:30:00+00:00,low_gas+very_high_wind+very_negative_imbalance+lower_interconnector_support,2025-09-06T07:00:00Z,2025-09-07T01:30:00Z
