case_id,year,case_type,event_window_start,event_window_end,events_found,max_price,min_price,avg_price,dominant_time_band,regime_group,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,internal_driver_summary,price_behaviour,regime_interpretation,paper_use,api_from,api_to
2025_case_01_jan_08_extreme_spike,2025,extreme_positive_spike,2025-01-08 10:00:00+00:00,2025-01-08 21:30:00+00:00,18,2900.0,112.0,983.3562,midday,jan_spike_stress,112.5269,2819.466,24021.7191,4141.3457,very_high_gas+very_low_wind,Extreme upward price discontinuity,"Scarcity-led upper-tail regime where low renewable output required very high gas generation, raising the probability of imbalance price spikes.","Use as the main 2025 upper-tail case study. This event demonstrates how extreme price spikes can emerge from the combination of very high gas generation, very low wind and sharp intraday price jumps.",2025-01-08T08:00:00Z,2025-01-08T23:30:00Z
2025_case_02_jan_20_evening_scarcity,2025,evening_scarcity_spike,2025-01-20 05:00:00+00:00,2025-01-20 21:00:00+00:00,16,678.4771,87.85,309.4849,evening_peak,jan_spike_stress,53.5501,2281.3333,26359.8125,1845.6667,very_high_gas+very_low_wind+lower_interconnector_support,Positive spike event,"Scarcity-led upper-tail regime where low renewable output required very high gas generation, raising the probability of imbalance price spikes.",Use as a secondary January scarcity case. It supports the argument that January 2025 contained repeated scarcity episodes rather than a single isolated event.,2025-01-20T04:30:00Z,2025-01-20T21:30:00Z
2025_case_03_jan_22_morning_ramp_scarcity,2025,morning_ramp_scarcity_spike,2025-01-22 04:30:00+00:00,2025-01-22 09:00:00+00:00,5,450.0,199.0697,355.8139,morning_ramp,jan_spike_stress,146.2095,113.4,25978.6,2085.2,very_high_gas+very_low_wind+lower_interconnector_support,Positive spike event,"Scarcity-led upper-tail regime where low renewable output required very high gas generation, raising the probability of imbalance price spikes.",Use to show morning-ramp scarcity. This case is useful because the spike formed outside the main evening peak.,2025-01-22T04:00:00Z,2025-01-22T09:30:00Z
2025_case_04_jun_30_mixed_tail_spike,2025,mixed_tail_positive_spike,2025-06-30 14:30:00+00:00,2025-06-30 21:30:00+00:00,6,423.85,76.3,279.0315,evening_peak,jun_mixed_tail,650.2377,7082.8194,12475.2639,1144.5278,low_wind+very_positive_imbalance+lower_interconnector_support,Positive spike event,"System-stress regime where positive imbalance amplified price formation, especially when combined with low wind or reduced interconnector support.",Use to show that 2025 spike risk was not purely a winter phenomenon. The event links positive imbalance and low interconnector support to summer mixed-tail stress.,2025-06-30T13:30:00Z,2025-06-30T22:00:00Z
2025_case_05_jul_01_near_spike,2025,near_spike_continuation,2025-07-01 15:00:00+00:00,2025-07-01 19:30:00+00:00,4,263.58,102.0,219.425,evening_peak,jul_sep_surplus,235.9436,4023.5,14227.75,2328.5,low_wind+positive_imbalance+lower_interconnector_support,Moderate positive spike / near-spike conversion,Near-scarcity regime where physical tightness was present but did not always convert into an extreme spike.,Use as a near-spike comparison case. This helps explain why stressed conditions sometimes stop below the main £250/MWh spike threshold.,2025-07-01T14:30:00Z,2025-07-01T20:00:00Z
2025_case_06_oct_13_autumn_spike,2025,autumn_mixed_transition_spike,2025-10-13 09:30:00+00:00,2025-10-13 19:30:00+00:00,9,487.0,95.0,297.8783,midday,oct_mixed_transition,180.1893,1040.6667,21930.8056,3337.0,very_high_gas+very_low_wind+positive_imbalance,Positive spike event,"Scarcity-led upper-tail regime where low renewable output required very high gas generation, raising the probability of imbalance price spikes.","Use as the main autumn transition case. It shows renewed upper-tail stress under very low wind, high gas and positive imbalance.",2025-10-13T09:00:00Z,2025-10-13T20:00:00Z
2025_case_07_oct_14_evening_spike,2025,autumn_evening_spike,2025-10-14 15:00:00+00:00,2025-10-14 19:00:00+00:00,4,300.0,90.0,247.5,evening_peak,oct_mixed_transition,10.2585,3639.5,22552.75,1931.0,very_high_gas+low_wind+lower_interconnector_support,Positive spike event,Mixed-transition regime where several drivers interacted but no single dominant scarcity mechanism fully explains the case.,Use as a short evening-spike example during the October transition regime.,2025-10-14T14:30:00Z,2025-10-14T19:30:00Z
2025_case_08_oct_22_evening_spike,2025,autumn_evening_spike,2025-10-22 13:30:00+00:00,2025-10-22 19:30:00+00:00,6,315.1,76.41,230.9938,evening_peak,oct_mixed_transition,274.7258,2228.375,19440.125,3955.9167,high_gas+very_low_wind+positive_imbalance,Positive spike event,Near-scarcity regime where physical tightness was present but did not always convert into an extreme spike.,Use as another October evening case to show repeated autumn mixed-transition stress.,2025-10-22T12:30:00Z,2025-10-22T20:00:00Z
2025_case_09_mar_30_negative_price_cluster,2025,negative_price_cluster,2025-03-30 01:30:00+00:00,2025-03-30 18:00:00+00:00,3,-0.46,-95.0,-16.1505,night,feb_mar_broad_stress,-929.5982,14155.119,3201.7593,-1428.2434,low_gas+very_high_wind+very_negative_imbalance+lower_interconnector_support,Negative-price cluster / downward-price formation,"Lower-tail surplus regime where negative imbalance, high wind and/or weak thermal demand created downward pressure on imbalance prices.",Use as a major negative-price case showing strong downward-price formation under very negative imbalance and high wind.,2025-03-29T23:30:00Z,2025-03-30T18:00:00Z
2025_case_10_apr_05_negative_price_cluster,2025,negative_price_cluster,2025-04-05 03:00:00+00:00,2025-04-05 17:30:00+00:00,3,105.0,-87.32,13.0547,afternoon,apr_may_surplus_shift,-322.3418,8131.375,2573.75,3427.0,low_gas+very_negative_imbalance,Negative-price cluster / downward-price formation,"Lower-tail surplus regime where negative imbalance, high wind and/or weak thermal demand created downward pressure on imbalance prices.",Use as an April surplus-shift case. This supports the interpretation that spring 2025 moved toward greater lower-tail price exposure.,2025-04-05T01:00:00Z,2025-04-05T18:00:00Z
2025_case_11_jun_22_negative_price_cluster,2025,negative_price_cluster,2025-06-22 00:30:00+00:00,2025-06-22 17:30:00+00:00,1,-1.23,-78.67,-34.7837,afternoon,jun_mixed_tail,-899.4649,10424.7778,2475.8889,583.3333,low_gas+high_wind+very_negative_imbalance+lower_interconnector_support,Negative-price cluster / downward-price formation,"Lower-tail surplus regime where negative imbalance, high wind and/or weak thermal demand created downward pressure on imbalance prices.",Use as a long negative-price event during the mixed-tail regime. It shows that June contained both negative-price risk and later positive spike risk.,2025-06-22T00:30:00Z,2025-06-22T17:30:00Z
2025_case_12_sep_06_negative_price_cluster,2025,negative_price_cluster,2025-09-06 07:00:00+00:00,2025-09-06 23:30:00+00:00,4,-0.75,-87.0,-20.827,late_evening,jul_sep_surplus,-502.2066,17526.3873,4178.4706,-1412.9216,low_gas+very_high_wind+very_negative_imbalance+lower_interconnector_support,Negative-price cluster / downward-price formation,"Lower-tail surplus regime where negative imbalance, high wind and/or weak thermal demand created downward pressure on imbalance prices.",Use as a summer/autumn negative-price case showing surplus persistence and sharp lower-tail behaviour.,2025-09-06T07:00:00Z,2025-09-07T01:30:00Z
