case_id,case_type,max_price,regime_group,internal_driver_summary,strict_remit_events_found,strict_high_materiality_events,strict_medium_materiality_events,largest_unavailable_capacity,main_remit_event_types,main_remit_assets,strict_remit_association,paper_ready_interpretation
2025_case_01_jan_08_extreme_spike,extreme_positive_spike,2900.0,jan_spike_stress,sudden_price_movement_check_internal_and_external_context,115,48,67,1000.0,"Production unavailability, Transmission unavailability, Consumption unavailability","DRAX, BEGL001, WBURTONB, INNOGY01, DEESIDE",strong_external_context,"This extreme_positive_spike case occurred in the jan_spike_stress regime and reached a maximum price of 2900.0. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as midday. After stricter filtering, REMIT data shows a strong external availability context: 115 materially relevant REMIT rows remained, including 48 high-materiality and 67 medium-materiality events. The largest unavailable capacity identified was 1000.0 MW. The relevant REMIT event types were: Production unavailability, Transmission unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_02_jan_20_evening_scarcity,evening_scarcity_spike,678.4771,jan_spike_stress,sudden_price_movement_check_internal_and_external_context,123,48,75,1500.0,"Production unavailability, Transmission unavailability, Consumption unavailability","DRAX, BEGL001, INNOGY01, WBURTONB, DEESIDE",strong_external_context,"This evening_scarcity_spike case occurred in the jan_spike_stress regime and reached a maximum price of 678.4771. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as evening_peak. After stricter filtering, REMIT data shows a strong external availability context: 123 materially relevant REMIT rows remained, including 48 high-materiality and 75 medium-materiality events. The largest unavailable capacity identified was 1500.0 MW. The relevant REMIT event types were: Production unavailability, Transmission unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_03_jan_22_morning_ramp_scarcity,morning_ramp_scarcity_spike,450.0,jan_spike_stress,sudden_price_movement_check_internal_and_external_context,111,43,68,1500.0,"Production unavailability, Transmission unavailability, Consumption unavailability","DRAX, BEGL001, WBURTONB, INNOGY01, DEESIDE",strong_external_context,"This morning_ramp_scarcity_spike case occurred in the jan_spike_stress regime and reached a maximum price of 450.0. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as morning_ramp. After stricter filtering, REMIT data shows a strong external availability context: 111 materially relevant REMIT rows remained, including 43 high-materiality and 68 medium-materiality events. The largest unavailable capacity identified was 1500.0 MW. The relevant REMIT event types were: Production unavailability, Transmission unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_04_jun_30_mixed_tail_spike,mixed_tail_positive_spike,423.85,jun_mixed_tail,low_wind+very_positive_imbalance+lower_interconnector_support,155,49,106,1000.0,"Production unavailability, Consumption unavailability, Transmission unavailability","INNOGY01, DRAX, BEGL001, WESTBURB, DEESIDE",strong_external_context,"This mixed_tail_positive_spike case occurred in the jun_mixed_tail regime and reached a maximum price of 423.85. The internal market fingerprint was low_wind+very_positive_imbalance+lower_interconnector_support, with the dominant time band classified as evening_peak. After stricter filtering, REMIT data shows a strong external availability context: 155 materially relevant REMIT rows remained, including 49 high-materiality and 106 medium-materiality events. The largest unavailable capacity identified was 1000.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability, Transmission unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_05_jul_01_near_spike,near_spike_continuation,263.58,jul_sep_surplus,sudden_price_movement_check_internal_and_external_context,136,46,90,880.0,"Production unavailability, Consumption unavailability","INNOGY01, DRAX, BEGL001, WESTBURB, DEESIDE",strong_external_context,"This near_spike_continuation case occurred in the jul_sep_surplus regime and reached a maximum price of 263.58. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as evening_peak. After stricter filtering, REMIT data shows a strong external availability context: 136 materially relevant REMIT rows remained, including 46 high-materiality and 90 medium-materiality events. The largest unavailable capacity identified was 880.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_06_oct_13_autumn_spike,autumn_mixed_transition_spike,487.0,oct_mixed_transition,sudden_price_movement_check_internal_and_external_context,122,47,75,1014.0,"Production unavailability, Transmission unavailability, Consumption unavailability","DRAX, BEGL001, INNOGY01, DEESIDE, ELECL1",strong_external_context,"This autumn_mixed_transition_spike case occurred in the oct_mixed_transition regime and reached a maximum price of 487.0. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as midday. After stricter filtering, REMIT data shows a strong external availability context: 122 materially relevant REMIT rows remained, including 47 high-materiality and 75 medium-materiality events. The largest unavailable capacity identified was 1014.0 MW. The relevant REMIT event types were: Production unavailability, Transmission unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_07_oct_14_evening_spike,autumn_evening_spike,300.0,oct_mixed_transition,sudden_price_movement_check_internal_and_external_context,97,40,57,1014.0,"Production unavailability, Transmission unavailability, Consumption unavailability","DRAX, BEGL001, INNOGY01, DEESIDE, ELECL1",strong_external_context,"This autumn_evening_spike case occurred in the oct_mixed_transition regime and reached a maximum price of 300.0. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as evening_peak. After stricter filtering, REMIT data shows a strong external availability context: 97 materially relevant REMIT rows remained, including 40 high-materiality and 57 medium-materiality events. The largest unavailable capacity identified was 1014.0 MW. The relevant REMIT event types were: Production unavailability, Transmission unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_08_oct_22_evening_spike,autumn_evening_spike,315.1,oct_mixed_transition,sudden_price_movement_check_internal_and_external_context,99,37,62,1180.0,"Production unavailability, Consumption unavailability, Transmission unavailability","DRAX, BEGL001, INNOGY01, DEESIDE, DINORWIG",strong_external_context,"This autumn_evening_spike case occurred in the oct_mixed_transition regime and reached a maximum price of 315.1. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context, with the dominant time band classified as evening_peak. After stricter filtering, REMIT data shows a strong external availability context: 99 materially relevant REMIT rows remained, including 37 high-materiality and 62 medium-materiality events. The largest unavailable capacity identified was 1180.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability, Transmission unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_09_mar_30_negative_price_cluster,negative_price_cluster,-0.46,feb_mar_broad_stress,high_wind+negative_imbalance+lower_interconnector_support,99,44,55,730.0,"Production unavailability, Consumption unavailability","DRAX, BEGL001, INNOGY01, DEESIDE, DINORWIG",strong_external_context,"This negative_price_cluster case occurred in the feb_mar_broad_stress regime and reached a maximum price of -0.46. The internal market fingerprint was high_wind+negative_imbalance+lower_interconnector_support, with the dominant time band classified as night. After stricter filtering, REMIT data shows a strong external availability context: 99 materially relevant REMIT rows remained, including 44 high-materiality and 55 medium-materiality events. The largest unavailable capacity identified was 730.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_10_apr_05_negative_price_cluster,negative_price_cluster,105.0,apr_may_surplus_shift,low_wind+negative_imbalance,116,38,78,1000.0,"Production unavailability, Consumption unavailability, Transmission unavailability","INNOGY01, DRAX, BEGL001, SSETGSL, WESTBURB",strong_external_context,"This negative_price_cluster case occurred in the apr_may_surplus_shift regime and reached a maximum price of 105.0. The internal market fingerprint was low_wind+negative_imbalance, with the dominant time band classified as afternoon. After stricter filtering, REMIT data shows a strong external availability context: 116 materially relevant REMIT rows remained, including 38 high-materiality and 78 medium-materiality events. The largest unavailable capacity identified was 1000.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability, Transmission unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_11_jun_22_negative_price_cluster,negative_price_cluster,-1.23,jun_mixed_tail,high_wind+negative_imbalance+lower_interconnector_support,138,50,88,1000.0,"Production unavailability, Consumption unavailability, Transmission unavailability","DRAX, BEGL001, WESTBURB, INNOGY01, DEESIDE",strong_external_context,"This negative_price_cluster case occurred in the jun_mixed_tail regime and reached a maximum price of -1.23. The internal market fingerprint was high_wind+negative_imbalance+lower_interconnector_support, with the dominant time band classified as afternoon. After stricter filtering, REMIT data shows a strong external availability context: 138 materially relevant REMIT rows remained, including 50 high-materiality and 88 medium-materiality events. The largest unavailable capacity identified was 1000.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability, Transmission unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
2025_case_12_sep_06_negative_price_cluster,negative_price_cluster,-0.75,jul_sep_surplus,high_wind+negative_imbalance+lower_interconnector_support,192,102,90,1180.0,"Production unavailability, Consumption unavailability","DRAX, BEGL001, INNOGY01, SPGEN01, DEESIDE",strong_external_context,"This negative_price_cluster case occurred in the jul_sep_surplus regime and reached a maximum price of -0.75. The internal market fingerprint was high_wind+negative_imbalance+lower_interconnector_support, with the dominant time band classified as late_evening. After stricter filtering, REMIT data shows a strong external availability context: 192 materially relevant REMIT rows remained, including 102 high-materiality and 90 medium-materiality events. The largest unavailable capacity identified was 1180.0 MW. The relevant REMIT event types were: Production unavailability, Consumption unavailability. This means the case should be interpreted as an internally stressed market regime that was likely reinforced by external availability conditions, rather than as a pure single-outage event."
