case_id,year,case_type,event_window_start,event_window_end,max_price,min_price,avg_price,dominant_time_band,regime_group,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,internal_driver_summary,api_from,api_to,remit_events_found,material_remit_events_found,main_remit_assets,main_remit_event_types,largest_unavailable_capacity,remit_association_strength,remit_summary,final_case_interpretation
2025_case_01_jan_08_extreme_spike,2025,extreme_positive_spike,2025-01-08 10:00:00+00:00,2025-01-08 21:30:00+00:00,2900.0,112.0,983.3562,midday,jan_spike_stress,112.5269,2819.466,24021.7191,4141.3457,sudden_price_movement_check_internal_and_external_context,2025-01-08T08:00:00Z,2025-01-08T23:30:00Z,225,116,,Production unavailability | Other unavailability | Transmission unavailability | Consumption unavailability,1000.0,strong_external_association,"225 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Transmission unavailability, Consumption unavailability. Materiality counts: {'medium': 67, 'low': 65, 'high': 49, 'unknown': 26, 'none': 18}.","This extreme_positive_spike case reached a maximum price of 2900.0 in the jan_spike_stress regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 225 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Transmission unavailability, Consumption unavailability. Materiality counts: {'medium': 67, 'low': 65, 'high': 49, 'unknown': 26, 'none': 18}."
2025_case_02_jan_20_evening_scarcity,2025,evening_scarcity_spike,2025-01-20 05:00:00+00:00,2025-01-20 21:00:00+00:00,678.4771,87.85,309.4849,evening_peak,jan_spike_stress,53.5501,2281.3333,26359.8125,1845.6667,sudden_price_movement_check_internal_and_external_context,2025-01-20T04:30:00Z,2025-01-20T21:30:00Z,221,124,,Production unavailability | Transmission unavailability | Consumption unavailability | Other unavailability,1500.0,strong_external_association,"221 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 75, 'low': 54, 'high': 49, 'unknown': 25, 'none': 18}.","This evening_scarcity_spike case reached a maximum price of 678.4771 in the jan_spike_stress regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 221 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 75, 'low': 54, 'high': 49, 'unknown': 25, 'none': 18}."
2025_case_03_jan_22_morning_ramp_scarcity,2025,morning_ramp_scarcity_spike,2025-01-22 04:30:00+00:00,2025-01-22 09:00:00+00:00,450.0,199.0697,355.8139,morning_ramp,jan_spike_stress,146.2095,113.4,25978.6,2085.2,sudden_price_movement_check_internal_and_external_context,2025-01-22T04:00:00Z,2025-01-22T09:30:00Z,207,112,,Production unavailability | Other unavailability | Transmission unavailability | Consumption unavailability,1500.0,strong_external_association,"207 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Transmission unavailability, Consumption unavailability. Materiality counts: {'medium': 68, 'low': 53, 'high': 44, 'unknown': 26, 'none': 16}.","This morning_ramp_scarcity_spike case reached a maximum price of 450.0 in the jan_spike_stress regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 207 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Transmission unavailability, Consumption unavailability. Materiality counts: {'medium': 68, 'low': 53, 'high': 44, 'unknown': 26, 'none': 16}."
2025_case_04_jun_30_mixed_tail_spike,2025,mixed_tail_positive_spike,2025-06-30 14:30:00+00:00,2025-06-30 21:30:00+00:00,423.85,76.3,279.0315,evening_peak,jun_mixed_tail,650.2377,7082.8194,12475.2639,1144.5278,low_wind+very_positive_imbalance+lower_interconnector_support,2025-06-30T13:30:00Z,2025-06-30T22:00:00Z,263,155,,Production unavailability | Consumption unavailability | Transmission unavailability | Other unavailability,1000.0,strong_external_association,"263 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability, Other unavailability. Materiality counts: {'medium': 106, 'low': 60, 'high': 49, 'unknown': 29, 'none': 19}.","This mixed_tail_positive_spike case reached a maximum price of 423.85 in the jun_mixed_tail regime. The internal market fingerprint was low_wind+very_positive_imbalance+lower_interconnector_support. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 263 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability, Other unavailability. Materiality counts: {'medium': 106, 'low': 60, 'high': 49, 'unknown': 29, 'none': 19}."
2025_case_05_jul_01_near_spike,2025,near_spike_continuation,2025-07-01 15:00:00+00:00,2025-07-01 19:30:00+00:00,263.58,102.0,219.425,evening_peak,jul_sep_surplus,235.9436,4023.5,14227.75,2328.5,sudden_price_movement_check_internal_and_external_context,2025-07-01T14:30:00Z,2025-07-01T20:00:00Z,232,136,,Production unavailability | Consumption unavailability | Other unavailability,880.0,strong_external_association,"232 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 90, 'low': 53, 'high': 46, 'unknown': 25, 'none': 18}.","This near_spike_continuation case reached a maximum price of 263.58 in the jul_sep_surplus regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 232 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 90, 'low': 53, 'high': 46, 'unknown': 25, 'none': 18}."
2025_case_06_oct_13_autumn_spike,2025,autumn_mixed_transition_spike,2025-10-13 09:30:00+00:00,2025-10-13 19:30:00+00:00,487.0,95.0,297.8783,midday,oct_mixed_transition,180.1893,1040.6667,21930.8056,3337.0,sudden_price_movement_check_internal_and_external_context,2025-10-13T09:00:00Z,2025-10-13T20:00:00Z,218,122,,Production unavailability | Transmission unavailability | Consumption unavailability | Other unavailability,1014.0,strong_external_association,"218 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 75, 'low': 51, 'high': 47, 'unknown': 30, 'none': 15}.","This autumn_mixed_transition_spike case reached a maximum price of 487.0 in the oct_mixed_transition regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 218 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 75, 'low': 51, 'high': 47, 'unknown': 30, 'none': 15}."
2025_case_07_oct_14_evening_spike,2025,autumn_evening_spike,2025-10-14 15:00:00+00:00,2025-10-14 19:00:00+00:00,300.0,90.0,247.5,evening_peak,oct_mixed_transition,10.2585,3639.5,22552.75,1931.0,sudden_price_movement_check_internal_and_external_context,2025-10-14T14:30:00Z,2025-10-14T19:30:00Z,188,97,,Production unavailability | Transmission unavailability | Consumption unavailability | Other unavailability,1014.0,strong_external_association,"188 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 57, 'low': 46, 'high': 40, 'unknown': 30, 'none': 15}.","This autumn_evening_spike case reached a maximum price of 300.0 in the oct_mixed_transition regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 188 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 57, 'low': 46, 'high': 40, 'unknown': 30, 'none': 15}."
2025_case_08_oct_22_evening_spike,2025,autumn_evening_spike,2025-10-22 13:30:00+00:00,2025-10-22 19:30:00+00:00,315.1,76.41,230.9938,evening_peak,oct_mixed_transition,274.7258,2228.375,19440.125,3955.9167,sudden_price_movement_check_internal_and_external_context,2025-10-22T12:30:00Z,2025-10-22T20:00:00Z,190,99,,Production unavailability | Consumption unavailability | Other unavailability | Transmission unavailability,1180.0,strong_external_association,"190 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Other unavailability, Transmission unavailability. Materiality counts: {'medium': 62, 'low': 42, 'high': 37, 'unknown': 31, 'none': 18}.","This autumn_evening_spike case reached a maximum price of 315.1 in the oct_mixed_transition regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 190 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Other unavailability, Transmission unavailability. Materiality counts: {'medium': 62, 'low': 42, 'high': 37, 'unknown': 31, 'none': 18}."
2025_case_09_mar_30_negative_price_cluster,2025,negative_price_cluster,2025-03-30 01:30:00+00:00,2025-03-30 18:00:00+00:00,-0.46,-95.0,-16.1505,night,feb_mar_broad_stress,-929.5982,14155.119,3201.7593,-1428.2434,high_wind+negative_imbalance+lower_interconnector_support,2025-03-29T23:30:00Z,2025-03-30T18:00:00Z,207,99,,Production unavailability | Consumption unavailability | Transmission unavailability,730.0,strong_external_association,"207 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'low': 61, 'medium': 55, 'high': 44, 'unknown': 25, 'none': 22}.","This negative_price_cluster case reached a maximum price of -0.46 in the feb_mar_broad_stress regime. The internal market fingerprint was high_wind+negative_imbalance+lower_interconnector_support. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 207 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'low': 61, 'medium': 55, 'high': 44, 'unknown': 25, 'none': 22}."
2025_case_10_apr_05_negative_price_cluster,2025,negative_price_cluster,2025-04-05 03:00:00+00:00,2025-04-05 17:30:00+00:00,105.0,-87.32,13.0547,afternoon,apr_may_surplus_shift,-322.3418,8131.375,2573.75,3427.0,low_wind+negative_imbalance,2025-04-05T01:00:00Z,2025-04-05T18:00:00Z,230,116,,Production unavailability | Consumption unavailability | Transmission unavailability,1000.0,strong_external_association,"230 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'medium': 78, 'low': 70, 'high': 38, 'unknown': 26, 'none': 18}.","This negative_price_cluster case reached a maximum price of 105.0 in the apr_may_surplus_shift regime. The internal market fingerprint was low_wind+negative_imbalance. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 230 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'medium': 78, 'low': 70, 'high': 38, 'unknown': 26, 'none': 18}."
