month,rows,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,periods_price_ge_100,periods_price_ge_150,near_spike_periods_200_to_250,spike_250_periods,spike_300_periods,negative_price_periods,probability_price_ge_100,probability_price_ge_150,near_spike_probability_200_to_250,spike_250_probability,spike_300_probability,negative_price_probability
1,1488,123.8734,-71.91,2900.0,-37.5047,8353.1694,14829.5007,2848.5941,779,165,9,23,19,44,0.5235,0.1109,0.006,0.0155,0.0128,0.0296
2,1344,100.7313,-43.79,197.71,-60.0673,9704.9792,12418.4792,2686.4524,639,131,0,0,0,33,0.4754,0.0975,0.0,0.0,0.0,0.0246
3,1488,87.7371,-95.0,207.4,-67.5433,7248.2372,10528.0544,4529.4435,610,41,4,0,0,66,0.4099,0.0276,0.0027,0.0,0.0,0.0444
4,1440,74.9115,-87.32,204.1064,-24.4333,5511.4944,8071.4604,4381.1847,434,11,2,0,0,98,0.3014,0.0076,0.0014,0.0,0.0,0.0681
5,1488,69.3323,-43.79,179.0,-36.3552,6411.4066,6077.9953,3497.1559,409,12,0,0,0,141,0.2749,0.0081,0.0,0.0,0.0,0.0948
6,1440,69.2114,-78.67,423.85,-28.5814,7672.8549,5474.5618,2577.3708,544,16,1,6,4,227,0.3778,0.0111,0.0007,0.0042,0.0028,0.1576
7,1488,78.7619,-73.91,263.58,-18.7326,4555.7298,7495.4207,4359.9825,438,3,1,1,0,45,0.2944,0.002,0.0007,0.0007,0.0,0.0302
8,1488,71.1543,-43.72,199.0,-57.8735,6111.5242,6887.0739,4049.3629,405,22,0,0,0,124,0.2722,0.0148,0.0,0.0,0.0,0.0833
9,1440,64.6299,-87.0,179.2,-69.8975,9030.6167,6886.6125,3110.5597,371,10,0,0,0,192,0.2576,0.0069,0.0,0.0,0.0,0.1333
10,1488,75.8932,-18.38,487.0,-9.9305,9114.3071,9670.5477,2900.3065,425,40,5,12,4,100,0.2856,0.0269,0.0034,0.0081,0.0027,0.0672
11,1440,75.8445,-30.0,247.3104,-43.5832,11236.741,10128.6368,2397.2347,347,17,4,0,0,38,0.241,0.0118,0.0028,0.0,0.0,0.0264
12,1488,75.4286,-10.91,149.95,-15.8844,11326.2655,9283.1801,3577.6774,195,0,0,0,0,13,0.131,0.0,0.0,0.0,0.0,0.0087
