case_id,asset_name,event_type,remit_rows,max_unavailable_capacity,avg_unavailable_capacity,first_event_start,last_event_end,asset_role,asset_repetition_across_cases
2025_case_01_jan_08_extreme_spike,NGIFA,Transmission unavailability,2,1000.0,1000.0,2024-12-30T22:00:00Z,2025-01-10T17:22:00Z,material_asset_in_case_window,9
2025_case_01_jan_08_extreme_spike,SSETGSL,Production unavailability,1,905.0,905.0,2025-01-08T10:44:00Z,2025-01-08T11:50:00Z,moderate_asset_context,9
2025_case_01_jan_08_extreme_spike,MPL,Production unavailability,1,880.0,880.0,2025-01-03T20:00:00Z,2025-01-10T08:00:00Z,moderate_asset_context,3
2025_case_01_jan_08_extreme_spike,KGL,Production unavailability,7,840.0,540.14,2015-05-20T06:00:00Z,2050-12-31T23:59:59Z,material_asset_in_case_window,12
2025_case_01_jan_08_extreme_spike,NGVLL,Transmission unavailability,2,728.0,728.0,2025-01-06T08:00:00Z,2025-01-08T15:15:00Z,material_asset_in_case_window,1
2025_case_01_jan_08_extreme_spike,MEDWAY,Production unavailability,2,710.0,540.0,2025-01-08T00:49:09Z,2025-01-17T23:59:52Z,material_asset_in_case_window,5
2025_case_01_jan_08_extreme_spike,BEGL001,Production unavailability,17,660.0,529.88,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,material_asset_in_case_window,12
2025_case_01_jan_08_extreme_spike,DRAX,Production unavailability,12,645.0,554.17,2020-07-29T11:00:00Z,2035-12-31T01:24:30Z,material_asset_in_case_window,12
2025_case_01_jan_08_extreme_spike,DEESIDE,Production unavailability,1,510.0,510.0,2018-03-31T23:00:00Z,2050-12-31T00:00:00Z,moderate_asset_context,12
2025_case_01_jan_08_extreme_spike,EECL,Production unavailability,5,505.0,492.0,2024-09-28T18:30:00Z,2050-09-30T23:00:00Z,material_asset_in_case_window,12
2025_case_01_jan_08_extreme_spike,WBURTONB,Production unavailability,32,500.0,483.66,2019-04-11T16:30:00Z,2025-02-05T23:00:00Z,material_asset_in_case_window,3
2025_case_01_jan_08_extreme_spike,INNOGY01,Production unavailability,12,500.0,486.33,2018-03-31T19:58:00Z,2029-07-31T23:00:00Z,material_asset_in_case_window,12
2025_case_01_jan_08_extreme_spike,EILIA,Transmission unavailability,1,500.0,500.0,2025-01-08T15:00:00Z,2025-01-08T22:00:00Z,moderate_asset_context,2
2025_case_01_jan_08_extreme_spike,FSTHYDRO,Consumption unavailability,3,300.0,300.0,2024-03-11T01:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_01_jan_08_extreme_spike,FSTHYDRO,Production unavailability,3,300.0,300.0,2024-03-11T01:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_01_jan_08_extreme_spike,MOWWL,Transmission unavailability,2,215.0,195.0,2024-11-01T20:00:00Z,2025-01-24T16:00:00Z,moderate_asset_context,4
2025_case_01_jan_08_extreme_spike,DBNKOWF1,Production unavailability,1,185.0,185.0,2024-11-22T09:00:00Z,2025-05-13T16:00:00Z,moderate_asset_context,12
2025_case_01_jan_08_extreme_spike,SWEL001,Production unavailability,2,160.0,150.0,2025-01-06T12:30:08Z,2025-01-10T20:30:00Z,moderate_asset_context,3
2025_case_01_jan_08_extreme_spike,EPCO1,Production unavailability,1,155.0,155.0,2025-01-05T09:00:00Z,2025-01-12T12:00:00Z,moderate_asset_context,1
2025_case_01_jan_08_extreme_spike,SSEGEN,Consumption unavailability,2,150.0,150.0,2025-01-07T06:30:26Z,2025-01-08T12:00:00Z,moderate_asset_context,5
2025_case_01_jan_08_extreme_spike,LYNPOWER,Production unavailability,1,133.0,133.0,2024-03-06T17:30:00Z,2025-01-16T04:30:00Z,moderate_asset_context,1
2025_case_01_jan_08_extreme_spike,CENPB,Production unavailability,1,120.0,120.0,2024-11-30T23:00:00Z,2025-01-31T23:00:00Z,moderate_asset_context,6
2025_case_01_jan_08_extreme_spike,CORBY,Production unavailability,1,120.0,120.0,2024-10-31T09:30:00Z,2025-10-01T00:00:00Z,moderate_asset_context,12
2025_case_01_jan_08_extreme_spike,ICHPLLP,Production unavailability,2,115.0,115.0,2025-01-06T23:00:00Z,2025-01-19T23:00:00Z,moderate_asset_context,11
2025_case_01_jan_08_extreme_spike,TEESREP,Production unavailability,1,102.0,102.0,2025-01-04T07:30:00Z,2025-01-08T09:00:00Z,moderate_asset_context,7
2025_case_02_jan_20_evening_scarcity,NGIFA,Transmission unavailability,4,1500.0,1250.0,2025-01-13T07:01:00Z,2025-02-04T13:29:00Z,major_material_asset_in_case_window,9
2025_case_02_jan_20_evening_scarcity,CENLANG,Production unavailability,2,905.0,852.5,2025-01-20T12:00:00Z,2025-01-20T20:00:00Z,material_asset_in_case_window,6
2025_case_02_jan_20_evening_scarcity,BEGL001,Production unavailability,17,660.0,549.29,2019-09-11T11:00:00Z,2050-12-31T23:00:00Z,material_asset_in_case_window,12
2025_case_02_jan_20_evening_scarcity,DRAX,Production unavailability,13,645.0,484.23,2020-07-29T11:00:00Z,2035-12-31T01:24:30Z,material_asset_in_case_window,12
2025_case_02_jan_20_evening_scarcity,INNOGY01,Production unavailability,17,620.0,482.12,2018-03-31T19:58:00Z,2029-07-31T23:00:00Z,material_asset_in_case_window,12
2025_case_02_jan_20_evening_scarcity,DEESIDE,Production unavailability,1,510.0,510.0,2018-03-31T23:00:00Z,2050-12-31T00:00:00Z,moderate_asset_context,12
2025_case_02_jan_20_evening_scarcity,KGL,Production unavailability,6,506.0,490.17,2015-05-20T06:00:00Z,2050-12-31T23:59:59Z,material_asset_in_case_window,12
2025_case_02_jan_20_evening_scarcity,EECL,Production unavailability,7,505.0,455.0,2024-09-28T18:30:00Z,2050-09-30T23:00:00Z,material_asset_in_case_window,12
2025_case_02_jan_20_evening_scarcity,WBURTONB,Production unavailability,32,500.0,483.66,2019-04-11T16:30:00Z,2025-02-05T23:00:00Z,material_asset_in_case_window,3
2025_case_02_jan_20_evening_scarcity,EILIA,Transmission unavailability,1,500.0,500.0,2025-01-20T09:00:00Z,2025-01-20T19:00:00Z,moderate_asset_context,2
2025_case_02_jan_20_evening_scarcity,ICHPLLP,Production unavailability,2,460.0,287.5,2025-01-19T23:00:00Z,2025-01-24T23:00:00Z,moderate_asset_context,11
2025_case_02_jan_20_evening_scarcity,SEABANK,Production unavailability,1,430.0,430.0,2025-01-19T03:30:00Z,2025-01-20T12:00:00Z,moderate_asset_context,6
2025_case_02_jan_20_evening_scarcity,SUTTBRGE,Production unavailability,1,422.0,422.0,2025-01-19T07:00:00Z,2025-01-21T18:00:00Z,moderate_asset_context,2
2025_case_02_jan_20_evening_scarcity,FSTHYDRO,Consumption unavailability,4,300.0,300.0,2024-03-30T08:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
2025_case_02_jan_20_evening_scarcity,FSTHYDRO,Production unavailability,3,300.0,300.0,2024-03-30T08:00:00Z,2025-01-30T21:00:00Z,moderate_asset_context,12
