asset_name,cases_appeared_in,total_remit_rows,max_unavailable_capacity,event_types
KGL,12,89,840.0,Production unavailability
INNOGY01,12,190,730.0,Production unavailability
DRAX,12,228,660.0,Production unavailability
BEGL001,12,174,660.0,Production unavailability
DEESIDE,12,12,510.0,Production unavailability
EECL,12,76,505.0,Production unavailability
CORBY,12,13,380.0,Production unavailability
FSTHYDRO,12,121,300.0,Consumption unavailability | Production unavailability
DBNKOWF1,12,12,250.4,Production unavailability
ICHPLLP,11,41,886.0,Production unavailability
NGIFA,9,26,1500.0,Transmission unavailability
SSETGSL,9,9,1180.0,Production unavailability
DINORWIG,9,42,300.0,Production unavailability
GCHP,9,10,140.0,Production unavailability
CECL,8,33,700.0,Production unavailability
WESTBURB,7,25,450.0,Production unavailability
TEESREP,7,10,285.0,Production unavailability
DPSL,7,38,128.0,Consumption unavailability | Production unavailability
CENLANG,6,7,905.0,Production unavailability
SPGEN01,6,87,812.0,Production unavailability
SEABANK,6,19,810.0,Production unavailability
CENPB,6,6,140.0,Production unavailability
MEDWAY,5,6,710.0,Production unavailability
SPAL,5,22,440.0,Production unavailability
SALTEND,5,10,400.0,Production unavailability
SSEGEN,5,10,150.0,Consumption unavailability | Production unavailability
MOWWL,4,8,233.67,Transmission unavailability
GYMOWL,4,10,144.0,Production unavailability
LYNE,4,7,133.0,Production unavailability
MPL,3,3,880.0,Production unavailability
WBURTONB,3,96,500.0,Production unavailability
CARRINGT,3,5,442.0,Production unavailability
DONGSVR,3,4,396.0,Production unavailability
N_SSEBAT,3,3,320.0,Production unavailability
SWEL001,3,4,300.0,Production unavailability
SPALDI,3,11,299.0,Production unavailability
ELECL1,2,4,1014.0,Transmission unavailability
SUTTBRGE,2,2,832.0,Production unavailability
EILIA,2,2,500.0,Transmission unavailability
ORSTED02,2,2,440.0,Production unavailability
SPCRE01,2,3,305.0,Production unavailability
TKWFL,2,2,153.0,Production unavailability
FALLAGO,2,2,144.0,Production unavailability
CWSL,2,2,129.0,Production unavailability
NGVLL,1,2,728.0,Transmission unavailability
HUMPOWER,1,1,580.0,Production unavailability
RPCL,1,3,384.0,Production unavailability
EAOWIND,1,2,340.0,Production unavailability
EPCO1,1,1,155.0,Production unavailability
AESIQPL,1,1,140.0,Production unavailability
N_NPSCP,1,1,138.0,Production unavailability
LYNPOWER,1,1,133.0,Production unavailability
BOWL001,1,1,126.0,Production unavailability
VIKING,1,4,112.0,Production unavailability
