case_id,case_type,max_price,regime_group,internal_driver_summary,remit_events_found,material_remit_events_found,main_remit_assets,main_remit_event_types,largest_unavailable_capacity,remit_association_strength,final_case_interpretation
2025_case_01_jan_08_extreme_spike,extreme_positive_spike,2900.0,jan_spike_stress,sudden_price_movement_check_internal_and_external_context,225,116,,Production unavailability | Other unavailability | Transmission unavailability | Consumption unavailability,1000.0,strong_external_association,"This extreme_positive_spike case reached a maximum price of 2900.0 in the jan_spike_stress regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 225 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Transmission unavailability, Consumption unavailability. Materiality counts: {'medium': 67, 'low': 65, 'high': 49, 'unknown': 26, 'none': 18}."
2025_case_02_jan_20_evening_scarcity,evening_scarcity_spike,678.4771,jan_spike_stress,sudden_price_movement_check_internal_and_external_context,221,124,,Production unavailability | Transmission unavailability | Consumption unavailability | Other unavailability,1500.0,strong_external_association,"This evening_scarcity_spike case reached a maximum price of 678.4771 in the jan_spike_stress regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 221 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 75, 'low': 54, 'high': 49, 'unknown': 25, 'none': 18}."
2025_case_03_jan_22_morning_ramp_scarcity,morning_ramp_scarcity_spike,450.0,jan_spike_stress,sudden_price_movement_check_internal_and_external_context,207,112,,Production unavailability | Other unavailability | Transmission unavailability | Consumption unavailability,1500.0,strong_external_association,"This morning_ramp_scarcity_spike case reached a maximum price of 450.0 in the jan_spike_stress regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 207 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Transmission unavailability, Consumption unavailability. Materiality counts: {'medium': 68, 'low': 53, 'high': 44, 'unknown': 26, 'none': 16}."
2025_case_04_jun_30_mixed_tail_spike,mixed_tail_positive_spike,423.85,jun_mixed_tail,low_wind+very_positive_imbalance+lower_interconnector_support,263,155,,Production unavailability | Consumption unavailability | Transmission unavailability | Other unavailability,1000.0,strong_external_association,"This mixed_tail_positive_spike case reached a maximum price of 423.85 in the jun_mixed_tail regime. The internal market fingerprint was low_wind+very_positive_imbalance+lower_interconnector_support. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 263 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability, Other unavailability. Materiality counts: {'medium': 106, 'low': 60, 'high': 49, 'unknown': 29, 'none': 19}."
2025_case_05_jul_01_near_spike,near_spike_continuation,263.58,jul_sep_surplus,sudden_price_movement_check_internal_and_external_context,232,136,,Production unavailability | Consumption unavailability | Other unavailability,880.0,strong_external_association,"This near_spike_continuation case reached a maximum price of 263.58 in the jul_sep_surplus regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 232 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 90, 'low': 53, 'high': 46, 'unknown': 25, 'none': 18}."
2025_case_06_oct_13_autumn_spike,autumn_mixed_transition_spike,487.0,oct_mixed_transition,sudden_price_movement_check_internal_and_external_context,218,122,,Production unavailability | Transmission unavailability | Consumption unavailability | Other unavailability,1014.0,strong_external_association,"This autumn_mixed_transition_spike case reached a maximum price of 487.0 in the oct_mixed_transition regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 218 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 75, 'low': 51, 'high': 47, 'unknown': 30, 'none': 15}."
2025_case_07_oct_14_evening_spike,autumn_evening_spike,300.0,oct_mixed_transition,sudden_price_movement_check_internal_and_external_context,188,97,,Production unavailability | Transmission unavailability | Consumption unavailability | Other unavailability,1014.0,strong_external_association,"This autumn_evening_spike case reached a maximum price of 300.0 in the oct_mixed_transition regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 188 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Transmission unavailability, Consumption unavailability, Other unavailability. Materiality counts: {'medium': 57, 'low': 46, 'high': 40, 'unknown': 30, 'none': 15}."
2025_case_08_oct_22_evening_spike,autumn_evening_spike,315.1,oct_mixed_transition,sudden_price_movement_check_internal_and_external_context,190,99,,Production unavailability | Consumption unavailability | Other unavailability | Transmission unavailability,1180.0,strong_external_association,"This autumn_evening_spike case reached a maximum price of 315.1 in the oct_mixed_transition regime. The internal market fingerprint was sudden_price_movement_check_internal_and_external_context. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 190 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Other unavailability, Transmission unavailability. Materiality counts: {'medium': 62, 'low': 42, 'high': 37, 'unknown': 31, 'none': 18}."
2025_case_09_mar_30_negative_price_cluster,negative_price_cluster,-0.46,feb_mar_broad_stress,high_wind+negative_imbalance+lower_interconnector_support,207,99,,Production unavailability | Consumption unavailability | Transmission unavailability,730.0,strong_external_association,"This negative_price_cluster case reached a maximum price of -0.46 in the feb_mar_broad_stress regime. The internal market fingerprint was high_wind+negative_imbalance+lower_interconnector_support. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 207 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'low': 61, 'medium': 55, 'high': 44, 'unknown': 25, 'none': 22}."
2025_case_10_apr_05_negative_price_cluster,negative_price_cluster,105.0,apr_may_surplus_shift,low_wind+negative_imbalance,230,116,,Production unavailability | Consumption unavailability | Transmission unavailability,1000.0,strong_external_association,"This negative_price_cluster case reached a maximum price of 105.0 in the apr_may_surplus_shift regime. The internal market fingerprint was low_wind+negative_imbalance. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 230 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'medium': 78, 'low': 70, 'high': 38, 'unknown': 26, 'none': 18}."
2025_case_11_jun_22_negative_price_cluster,negative_price_cluster,-1.23,jun_mixed_tail,high_wind+negative_imbalance+lower_interconnector_support,250,139,,Production unavailability | Other unavailability | Consumption unavailability | Transmission unavailability,1000.0,strong_external_association,"This negative_price_cluster case reached a maximum price of -1.23 in the jun_mixed_tail regime. The internal market fingerprint was high_wind+negative_imbalance+lower_interconnector_support. REMIT evidence shows a strong external availability association, suggesting that asset-level availability conditions may have reinforced the observed price stress. 250 REMIT event rows were found. Main assets: asset names not clearly available. Event types: Production unavailability, Other unavailability, Consumption unavailability, Transmission unavailability. Materiality counts: {'medium': 89, 'low': 65, 'high': 50, 'unknown': 28, 'none': 18}."
