year,threshold,time_band,rows_in_time_band,periods_above_threshold,probability_above_threshold,avg_price,min_price,max_price,avg_imbalance,avg_wind,avg_gas,avg_interconnectors,share_imbalance_gt_150,share_imbalance_gt_300,share_wind_lt_8000,share_wind_lt_3000,share_gas_gt_15000,share_gas_gt_20000,share_interconnectors_lt_2500,share_interconnectors_gt_4500
2025,100,night,4380,897,0.2048,115.6304,100.0,181.0,195.3188,6119.9331,7516.2798,3063.0033,0.5229,0.2285,0.7291,0.204,0.0569,0.0067,0.3356,0.2453
2025,100,morning_ramp,2920,1156,0.3959,121.2741,100.0,450.0,250.9662,6472.8953,11032.0813,3687.8304,0.5848,0.3261,0.6799,0.199,0.2699,0.1151,0.2483,0.4472
2025,100,midday,2920,631,0.2161,128.7405,100.0,1950.0,224.7457,6725.6894,11493.2345,4597.683,0.5341,0.2916,0.6228,0.1902,0.3059,0.1601,0.1442,0.5689
2025,100,afternoon,1460,411,0.2815,136.7277,100.0,2900.0,188.0334,6996.2603,11875.7372,4084.5547,0.4647,0.2311,0.6326,0.2214,0.326,0.1922,0.18,0.399
2025,100,evening_peak,2920,1620,0.5548,139.7677,100.0,2900.0,238.1818,7467.7809,13744.8549,3388.2679,0.571,0.316,0.5901,0.1642,0.4105,0.1796,0.2685,0.2475
2025,100,late_evening,2920,881,0.3017,117.1607,100.0,250.0,191.752,7622.0908,11164.2826,3428.2679,0.5006,0.2145,0.5789,0.151,0.2474,0.0988,0.3065,0.2577
2025,150,night,4380,23,0.0053,160.6462,150.0,181.0,268.4597,4418.4783,10134.6522,3127.3913,0.7391,0.3478,0.7826,0.6087,0.2174,0.0435,0.2609,0.2609
2025,150,morning_ramp,2920,90,0.0308,170.5833,150.0,450.0,344.8463,5268.7333,18087.3444,2537.8667,0.7444,0.5222,0.8,0.2333,0.7111,0.5111,0.4778,0.2889
2025,150,midday,2920,61,0.0209,246.9883,150.0,1950.0,311.8651,5072.1967,19133.4098,4375.8033,0.6721,0.459,0.8525,0.2459,0.7541,0.5902,0.1148,0.377
2025,150,afternoon,1460,40,0.0274,328.1028,150.0,2900.0,196.229,3823.825,21228.25,3493.55,0.525,0.175,0.95,0.575,0.925,0.775,0.275,0.125
2025,150,evening_peak,2920,229,0.0784,256.035,150.0,2900.0,296.5222,5283.2358,20189.3057,3065.4323,0.6681,0.4061,0.8384,0.3319,0.8603,0.607,0.345,0.1878
2025,150,late_evening,2920,25,0.0086,166.7937,150.0,250.0,232.3429,4022.12,16845.2,3777.76,0.44,0.28,0.88,0.44,0.6,0.36,0.24,0.4
2025,200,night,4380,0,0.0,,,,,,,,,,,,,,,
2025,200,morning_ramp,2920,5,0.0017,316.6281,241.63,450.0,247.4122,2421.6,24426.4,883.6,0.8,0.2,1.0,0.6,1.0,1.0,1.0,0.0
2025,200,midday,2920,11,0.0038,642.1174,215.0,1950.0,177.3627,3240.8182,23917.0,3654.3636,0.5455,0.1818,1.0,0.2727,1.0,1.0,0.0909,0.0
2025,200,afternoon,1460,10,0.0068,806.66,209.38,2900.0,319.5051,1951.8,22635.8,3220.6,0.8,0.3,1.0,1.0,1.0,0.9,0.3,0.0
2025,200,evening_peak,2920,41,0.014,678.4189,200.0,2900.0,371.6609,3229.4146,21102.9512,3122.7317,0.7561,0.5854,1.0,0.6585,0.7805,0.7073,0.3415,0.2195
2025,200,late_evening,2920,1,0.0003,250.0,250.0,250.0,187.9628,2421.0,22319.0,3958.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2025,250,night,4380,0,0.0,,,,,,,,,,,,,,,
2025,250,morning_ramp,2920,3,0.001,364.7333,304.2,450.0,125.1578,854.3333,25621.6667,1464.6667,0.6667,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2025,250,midday,2920,7,0.0024,883.923,250.4608,1950.0,117.5524,2749.4286,23660.2857,3721.1429,0.4286,0.0,1.0,0.2857,1.0,1.0,0.0,0.0
2025,250,afternoon,1460,4,0.0027,1666.0,264.0,2900.0,168.2205,2538.5,23733.5,3772.0,0.75,0.0,1.0,1.0,1.0,1.0,0.25,0.0
2025,250,evening_peak,2920,27,0.0092,921.6992,250.0,2900.0,358.5396,3372.5556,21137.3333,2828.963,0.7778,0.6296,1.0,0.7037,0.7407,0.7037,0.4074,0.2222
2025,250,late_evening,2920,1,0.0003,250.0,250.0,250.0,187.9628,2421.0,22319.0,3958.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2025,300,night,4380,0,0.0,,,,,,,,,,,,,,,
2025,300,morning_ramp,2920,3,0.001,364.7333,304.2,450.0,125.1578,854.3333,25621.6667,1464.6667,0.6667,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2025,300,midday,2920,4,0.0014,1345.5,487.0,1950.0,135.5916,2768.0,23777.5,3917.0,0.5,0.0,1.0,0.25,1.0,1.0,0.0,0.0
2025,300,afternoon,1460,3,0.0021,2133.3333,600.0,2900.0,156.3681,2527.6667,24854.0,4248.6667,0.6667,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2025,300,evening_peak,2920,17,0.0058,1301.0245,300.0,2900.0,378.1113,3570.7647,21779.3529,3005.1765,0.8235,0.6471,1.0,0.7059,0.7647,0.7059,0.4706,0.3529
2025,300,late_evening,2920,0,0.0,,,,,,,,,,,,,,,
