month,rows,spikes,avg_price,avg_imbalance,avg_wind,avg_gas,spike_probability
1,1484,70,134.9331,-8.419,10817.6739,10043.5694,0.0472
2,1344,21,135.9376,13.3541,8757.6949,11469.9576,0.0156
3,1486,20,127.0693,6.7808,8107.4004,11577.0518,0.0135
4,1440,0,97.9409,-60.1558,6100.15,10724.0792,0.0
5,1488,0,74.6387,-90.4067,4498.5101,9680.5074,0.0
6,1440,1,90.4754,1.8924,4299.2222,10425.6535,0.0007
7,1487,0,68.0824,-47.0184,6404.1123,8535.1654,0.0
8,1488,0,78.7081,-50.596,5247.123,10005.4429,0.0
9,1440,0,79.988,-27.5683,5800.8743,9876.5931,0.0
10,1488,3,91.2766,44.2355,8530.6411,8419.7305,0.002
11,1440,3,90.0437,-9.2044,8680.3562,10768.1299,0.0021
12,1487,2,69.0231,-45.602,11384.4707,9382.1392,0.0013
