month,rows,spikes,spike_probability,avg_price,avg_imbalance,avg_wind,avg_gas
1,1488,0,0.0,73.628,27.3611,10053.8091,13159.078
2,1392,0,0.0,57.6276,-71.2632,9681.0338,9057.4447
3,1488,0,0.0,64.2323,30.9151,8701.8555,8045.3112
4,1440,0,0.0,49.1191,-86.0267,8980.9708,5505.9806
5,1488,0,0.0,72.025,-11.3942,4395.1102,7292.6102
6,1440,0,0.0,69.4318,2.9783,5563.3104,5834.2847
7,1488,0,0.0,71.5944,3.4517,4827.1593,6807.9046
8,1488,0,0.0,56.5625,-67.3962,7193.8871,4827.7426
9,1440,0,0.0,77.4215,-1.8645,6124.2924,7465.7306
10,1488,6,0.004,81.6616,-8.342,7830.3347,9230.4227
11,1440,4,0.0028,93.7215,-48.0466,7498.5729,13374.9806
12,1488,14,0.0094,86.2649,-38.5761,10742.4254,10187.8145
